"Triplet","CancerTypes","Count"
"miR-511-5p/miR-26a-1-3p/IGFBP3","KIRC",1
"miR-513a-3p/miR-130b-5p/SLC8A1","SKCM",1
"miR-514a-3p/miR-103a-2-5p/ABHD2","STAD",1
"miR-518a-3p/miR-520d-5p/EGR1","TGCT",1
"miR-519d-3p/let-7b-5p/POLQ","THYM",1
"miR-519d-3p/miR-3662/SPOPL","THYM",1
"miR-20a-5p/miR-222-3p/SLC40A1","OV",1
"miR-20a-5p/miR-7-5p/DIP2C","UCS",1
"miR-20b-5p/miR-150-5p/VEGFA","PRAD",1
"miR-519d-3p/miR-518c-5p/CCDC71L","THYM",1
"miR-519d-3p/miR-519c-3p/SLCO5A1","THYM",1
"miR-519d-3p/miR-525-5p/PRKCB","THYM",1
"miR-519d-3p/miR-525-5p/SEMA7A","THYM",1
"miR-155-5p/miR-664a-5p/SLC38A1","SARC",1
"miR-15a-5p/miR-7-5p/IRF4","THYM",1
"miR-15b-3p/let-7e-5p/PRLR","SARC",1
"miR-15b-3p/miR-9-5p/ACADSB","KICH",1
"miR-20b-5p/miR-20a-5p/EGLN3","LUSC",1
"miR-20b-5p/miR-211-5p/KCNK6","TGCT",1
"miR-519d-3p/miR-526b-5p/SSH2","THYM",1
"miR-520a-3p/miR-519d-3p/NSD2","THYM",1
"miR-15b-5p/miR-34a-5p/TACSTD2","SARC",1
"miR-15b-5p/miR-432-5p/LTBP1","SARC",1
"miR-20b-5p/miR-30c-2-3p/ZNF70","UCEC",1
"miR-20b-5p/miR-30e-5p/PRLR","UVM",1
"miR-15b-5p/miR-454-5p/ASGR1","THYM",1
"miR-16-1-3p/miR-345-5p/TXNIP","SARC",1
"miR-16-2-3p/miR-154-5p/RPS4X","SKCM",1
"miR-16-2-3p/miR-502-5p/KIAA0895","SARC",1
"miR-520d-3p/miR-432-5p/KCNMB1","TGCT",1
"miR-520g-3p/miR-519d-3p/NSD2","THYM",1
"miR-520g-3p/miR-520h/RAB39B","THYM",1
"miR-520h/miR-125b-5p/CEP128","THYM",1
"miR-520h/miR-642a-5p/GPR157","TGCT",1
"miR-526b-3p/miR-20b-5p/FAM241A","TGCT",1
"miR-532-3p/miR-182-5p/ADCY6","UCS",1
"miR-532-5p/miR-582-5p/RORA","SARC",1
"miR-539-5p/miR-511-5p/FN1","SARC",1
"miR-542-3p/miR-181c-5p/JARID2","SKCM",1
"miR-545-5p/miR-411-3p/SLC7A2","ACC",1
"miR-548f-3p/miR-301b-3p/SFT2D2","UCS",1
"miR-17-3p/miR-155-5p/MDM2","UCEC",1
"miR-17-5p/let-7c-5p/SLCO5A1","SARC",1
"miR-338-5p/miR-129-5p/INHBA","STAD",1
"miR-338-5p/miR-153-3p/SOX11","ESCA",1
"miR-20b-5p/miR-520d-3p/ABHD15","TGCT",1
"miR-20b-5p/miR-708-5p/QSOX1","STAD",1
"miR-17-5p/miR-10a-5p/FHL2","SARC",1
"miR-17-5p/miR-125b-1-3p/COX20","UCS",1
"miR-339-5p/miR-19a-3p/ACSL4","UCEC",1
"miR-339-5p/miR-345-5p/IRF4","BLCA",1
"miR-17-5p/miR-130a-3p/EGLN3","SARC",1
"miR-17-5p/miR-130b-3p/GNS","UCS",1
"miR-17-5p/miR-130b-3p/ITGB8","UCS",1
"miR-339-5p/miR-93-5p/GABBR1","STAD",1
"miR-33a-3p/miR-320d/AKT3","READ",1
"miR-33a-3p/miR-425-5p/XKR4","ESCA",1
"miR-20b-5p/miR-93-5p/GPR183","SKCM",1
"miR-210-3p/miR-129-5p/VCAN","LUSC",1
"miR-33a-3p/miR-671-5p/ZC3H12C","STAD",1
"miR-33a-5p/miR-205-5p/SPTBN1","THYM",1
"miR-17-5p/miR-141-3p/PRKAA2","BLCA",1
"miR-17-5p/miR-181c-3p/KCNMA1","THYM",1
"miR-210-3p/miR-497-5p/CSNK1E","SKCM",1
"miR-212-3p/miR-16-1-3p/CD226","SARC",1
"miR-33a-5p/miR-483-3p/RAB3B","PAAD",1
"miR-33a-5p/miR-616-5p/MBNL2","ESCA",1
"miR-17-5p/miR-19b-1-5p/TACC1","UCS",1
"miR-17-5p/miR-301b-3p/RAB11FIP1","UCS",1
"miR-212-3p/miR-29a-5p/ADCY1","UCEC",1
"miR-212-3p/miR-425-5p/SOD2","SARC",1
"miR-548o-3p/miR-3065-3p/GPC4","TGCT",1
"miR-550a-3p/miR-33a-3p/ZC3H12C","READ",1
"miR-550a-5p/miR-93-5p/NFIC","SKCM",1
"miR-551a/miR-218-5p/MAP3K21","UCS",1
"miR-33a-5p/miR-98-5p/ZSWIM6","ACC",1
"miR-33b-5p/miR-511-5p/G2E3","ACC",1
"miR-340-5p/miR-125b-5p/PPL","SARC",1
"miR-340-5p/miR-15b-5p/NFIB","SARC",1
"miR-21-3p/let-7e-5p/GLUL","SARC",1
"miR-21-3p/miR-130a-3p/TSC22D1","LIHC",1
"miR-340-5p/miR-589-3p/ITPR1","KIRC",1
"miR-340-5p/miR-629-3p/SLC38A1","UVM",1
"miR-17-5p/miR-320b/RAPH1","UCS",1
"miR-17-5p/miR-328-3p/CELSR2","SARC",1
"miR-17-5p/miR-508-5p/PRRG4","SKCM",1
"miR-181a-2-3p/miR-141-3p/GNA13","SKCM",1
"miR-181a-2-3p/miR-19a-3p/TIPARP","SARC",1
"miR-181a-2-3p/miR-200a-3p/ZMYM4","SKCM",1
"miR-181a-2-3p/miR-664a-3p/ATP13A3","DLBC",1
"miR-556-5p/miR-301a-3p/AMOTL1","READ",1
"miR-576-5p/miR-200b-3p/BIRC3","SARC",1
"miR-21-3p/miR-224-5p/SNX13","ACC",1
"miR-21-3p/miR-323a-3p/SGK1","MESO",1
"miR-577/miR-215-5p/ID4","READ",1
"miR-577/miR-3065-3p/SOD2","PAAD",1
"miR-577/miR-96-5p/ASH1L","THYM",1
"miR-342-3p/miR-664a-3p/XPO1","DLBC",1
"miR-21-3p/miR-335-5p/ZFP41","KICH",1
"miR-21-3p/miR-451a/TSC1","ACC",1
"miR-21-3p/miR-500a-3p/SOD2","SARC",1
"miR-181c-5p/miR-181a-2-3p/DDI2","DLBC",1
"miR-181c-5p/miR-218-5p/APOL6","SARC",1
"miR-579-3p/miR-1226-3p/HSPA1B","THYM",1
"miR-582-3p/miR-18a-5p/IDS","ESCA",1
"miR-21-3p/miR-676-5p/ZNF793","KICH",1
"miR-214-3p/miR-3613-3p/JAG1","SARC",1
"miR-582-5p/miR-106a-5p/TOR1AIP2","MESO",1
"miR-582-5p/miR-511-5p/ELAVL3","ACC",1
"miR-181c-5p/miR-29b-3p/PLAG1","SKCM",1
"miR-181c-5p/miR-335-5p/DST","SARC",1
"miR-214-3p/miR-497-5p/FST","LIHC",1
"miR-214-3p/miR-542-5p/WASF3","LUSC",1
"miR-181d-5p/miR-106a-5p/ARSJ","KICH",1
"miR-181d-5p/miR-138-5p/CDCP1","TGCT",1
"miR-214-5p/miR-383-5p/CDK6","THYM",1
"miR-215-5p/miR-2355-5p/ADAMTS1","THYM",1
"miR-215-5p/miR-29b-3p/NSD2","SARC",1
"miR-218-5p/miR-376a-3p/IGF1R","ACC",1
"miR-584-5p/miR-146a-5p/TET3","SKCM",1
"miR-584-5p/miR-411-5p/UQCRB","CHOL",1
"miR-219a-1-3p/miR-532-5p/PIM1","ESCA",1
"miR-219a-5p/miR-651-5p/CCDC88A","BLCA",1
"miR-181d-5p/miR-194-5p/CD2AP","ACC",1
"miR-182-5p/let-7b-5p/CHD1","THYM",1
"miR-342-3p/miR-96-5p/CPEB2","BLCA",1
"miR-342-5p/miR-129-2-3p/SPRY4","TGCT",1
"miR-221-3p/miR-15b-5p/PIK3R1","THYM",1
"miR-221-3p/miR-378a-5p/TMEM132B","SARC",1
"miR-342-5p/miR-138-5p/RAVER1","DLBC",1
"miR-345-5p/miR-148b-5p/ZNFX1","SARC",1
"miR-34a-3p/miR-320c/THBS1","COAD",1
"miR-34a-5p/miR-145-5p/VGLL4","SARC",1
"miR-221-3p/miR-766-3p/TFRC","SARC",1
"miR-221-5p/miR-16-2-3p/SH3BP5","SARC",1
"miR-589-3p/let-7c-5p/GJC1","HNSC",1
"miR-590-3p/miR-29b-2-5p/ZMAT3","SARC",1
"miR-182-5p/miR-125b-5p/LMNB1","THYM",1
"miR-182-5p/miR-1271-5p/TLN1","TGCT",1
"miR-221-5p/miR-421/TNKS1BP1","SARC",1
"miR-221-5p/miR-497-5p/IGF2","SARC",1
"miR-34a-5p/miR-193b-3p/NAPEPLD","KICH",1
"miR-34a-5p/miR-218-5p/KIT","UCEC",1
"miR-182-5p/miR-1-3p/ZNF185","UCS",1
"miR-182-5p/miR-142-3p/RASSF8","UCEC",1
"miR-222-5p/miR-195-5p/TP53INP1","SKCM",1
"miR-223-5p/miR-106b-5p/OGFRL1","ESCA",1
"miR-590-3p/miR-34b-3p/NFIA","SARC",1
"miR-592/miR-204-5p/PTPRJ","KICH",1
"miR-615-3p/miR-30a-3p/TLE3","SKCM",1
"miR-182-5p/miR-15a-5p/PDCD4","UVM",1
"miR-182-5p/miR-200a-3p/PRKAA2","HNSC",1
"miR-34a-5p/miR-22-3p/TRIM14","SARC",1
"miR-34a-5p/miR-32-5p/SMAD7","SKCM",1
"miR-223-5p/miR-518f-5p/HEPHL1","TGCT",1
"miR-224-5p/miR-196a-5p/E2F2","PCPG",1
"miR-224-5p/miR-196b-5p/SCD","TGCT",1
"miR-224-5p/miR-301a-3p/MLEC","SKCM",1
"miR-616-3p/miR-423-3p/SFMBT2","READ",1
"miR-616-5p/miR-18a-5p/MYADM","BLCA",1
"miR-224-5p/miR-497-5p/UBR4","TGCT",1
"miR-22-5p/miR-7-2-3p/TOP2A","LGG",1
"miR-625-5p/miR-106a-5p/MKNK2","ESCA",1
"miR-625-5p/miR-18a-3p/DIRAS1","THYM",1
"miR-2355-5p/miR-106a-5p/ANKRD52","ACC",1
"miR-23a-5p/miR-508-3p/RGS17","CESC",1
"miR-182-5p/miR-222-5p/PRKAA2","BLCA",1
"miR-182-5p/miR-29b-3p/BCL2","READ",1
"miR-34b-3p/miR-30c-2-3p/MRNIP","SKCM",1
"miR-34b-5p/miR-508-5p/RPS19","THYM",1
"miR-625-5p/miR-19a-3p/ADARB1","BLCA",1
"miR-625-5p/miR-22-3p/SOD2","SARC",1
"miR-625-5p/miR-589-3p/DIRAS1","HNSC",1
"miR-627-5p/miR-17-5p/GOLGB1","ESCA",1
"miR-628-5p/miR-145-5p/CD44","SKCM",1
"miR-628-5p/miR-497-5p/TFAP2A","SKCM",1
"miR-34c-3p/miR-653-5p/KIF5B","MESO",1
"miR-34c-5p/miR-548e-3p/LNPK","TGCT",1
"miR-182-5p/miR-320d/RTL6","UCS",1
"miR-182-5p/miR-338-3p/RARG","SKCM",1
"miR-182-5p/miR-96-5p/CPEB2","ACC",1
"miR-183-3p/miR-1305/CCNG2","TGCT",1
"miR-183-3p/miR-616-3p/CCN2","UCEC",1
"miR-183-5p/miR-182-5p/TRPS1","UCS",1
"miR-183-5p/miR-29a-5p/IGF1R","SKCM",1
"miR-3605-3p/miR-141-5p/TBKBP1","SKCM",1
"miR-3609/miR-519d-3p/PAK6","TGCT",1
"miR-3613-3p/miR-20a-5p/IFI44L","LUAD",1
"miR-3613-5p/miR-130b-5p/FRMD6","UCEC",1
"miR-3614-3p/miR-219a-1-3p/MUC4","TGCT",1
"miR-3615/miR-93-3p/HOMER2","STAD",1
"miR-362-3p/miR-188-5p/CDK6","BLCA",1
"miR-362-3p/miR-500a-3p/GPRC5A","UCS",1
"miR-629-5p/miR-124-3p/ELF3","TGCT",1
"miR-629-5p/miR-1-3p/WBP2","SARC",1
"miR-629-5p/miR-767-3p/BHLHE40","TGCT",1
"miR-183-5p/miR-514b-5p/PLEKHA1","SKCM",1
"miR-188-3p/miR-125b-5p/G3BP1","SKCM",1
"miR-188-3p/miR-497-5p/BACH1","MESO",1
"miR-188-3p/miR-7-1-3p/SOD2","SARC",1
"miR-362-3p/miR-548f-3p/NR2F2","READ",1
"miR-362-3p/miR-660-5p/ARL4C","UCS",1
"miR-642a-5p/miR-188-5p/SACS","BLCA",1
"miR-642a-5p/miR-511-5p/IER5","PAAD",1
"miR-188-5p/miR-877-5p/ITGB1","READ",1
"miR-18a-3p/miR-106a-5p/NBL1","THYM",1
"miR-23b-3p/miR-155-5p/CHD7","SKCM",1
"miR-23b-5p/miR-663a/SBK1","COAD",1
"miR-26b-3p/miR-194-3p/MET","DLBC",1
"miR-651-5p/miR-18a-5p/TMEM170B","KICH",1
"miR-18a-3p/miR-17-5p/FAXC","THYM",1
"miR-18a-3p/miR-204-5p/ZBTB4","ACC",1
"miR-651-5p/miR-215-5p/GATM","BRCA",1
"miR-654-3p/miR-20b-5p/CERCAM","SKCM",1
"miR-26b-3p/miR-200a-5p/LIFR","STAD",1
"miR-26b-5p/miR-582-5p/GREB1L","STAD",1
"miR-27a-3p/miR-18a-3p/KDM6B","SKCM",1
"miR-27a-3p/miR-30c-5p/PREX1","SKCM",1
"miR-27b-3p/miR-29b-3p/SPRY4","SARC",1
"miR-27b-5p/miR-214-3p/ETS1","SKCM",1
"miR-656-3p/miR-767-5p/ITPRIPL2","TGCT",1
"miR-676-3p/miR-450b-5p/AMOT","PCPG",1
"miR-296-3p/miR-17-5p/ZNF514","DLBC",1
"miR-296-3p/miR-302b-3p/TRIOBP","TGCT",1
"miR-29a-3p/miR-29b-3p/CRISPLD1","BLCA",1
"miR-29a-3p/miR-29b-3p/RNF39","SARC",1
"miR-29a-3p/miR-335-5p/VPS13B","SKCM",1
"miR-29a-5p/miR-1229-3p/ETS1","LUAD",1
"miR-676-3p/miR-502-5p/SNRNP70","UCS",1
"miR-708-5p/miR-181a-5p/CYP1B1","SARC",1
"miR-18a-3p/miR-377-5p/PLCE1","SKCM",1
"miR-18a-5p/miR-130b-5p/PRSS12","UCEC",1
"miR-18a-5p/miR-196b-5p/PTCHD1","BLCA",1
"miR-18a-5p/miR-33a-5p/PHC3","UCS",1
"miR-18a-5p/miR-425-5p/CELSR2","SARC",1
"miR-18b-5p/miR-1226-3p/GDF11","UCS",1
"miR-29a-5p/miR-491-5p/MEF2D","UCS",1
"miR-29b-1-5p/miR-378c/CDK6","SKCM",1
"miR-362-5p/miR-642a-5p/SACS","BLCA",1
"miR-363-3p/miR-25-3p/LILRA2","THYM",1
"miR-708-5p/miR-222-5p/GNG2","STAD",1
"miR-7-1-3p/miR-491-5p/GLIS3","SARC",1
"miR-18b-5p/miR-335-3p/SP100","TGCT",1
"miR-18b-5p/miR-625-5p/BRPF3","DLBC",1
"miR-103a-2-5p/miR-618/TACC1","LIHC",1
"miR-105-5p/miR-188-3p/MCFD2","ACC",1
"miR-29b-3p/miR-195-5p/RAB11FIP1","TGCT",1
"miR-29b-3p/miR-20b-5p/ZNF827","CESC",1
"miR-744-3p/let-7e-5p/GLUL","SARC",1
"miR-744-3p/let-7f-5p/FAT1","LUAD",1
"miR-18b-5p/miR-7-1-3p/IDS","TGCT",1
"miR-190a-5p/miR-192-5p/KCNMB4","ESCA",1
"miR-29b-3p/miR-31-5p/MTSS2","SKCM",1
"miR-29b-3p/miR-503-5p/ZBTB34","TGCT",1
"miR-106a-5p/let-7b-5p/RIMKLA","UCS",1
"miR-106a-5p/miR-181d-5p/ZNF107","TGCT",1
"miR-758-3p/miR-323a-3p/ENPP5","MESO",1
"miR-758-3p/miR-376c-3p/ENPP5","MESO",1
"miR-190a-5p/miR-199a-3p/FGF2","SARC",1
"miR-190a-5p/miR-199b-3p/FGF2","SARC",1
"miR-301a-3p/miR-130a-3p/GPRC5A","SARC",1
"miR-301a-3p/miR-17-5p/SYBU","BLCA",1
"miR-106a-5p/miR-200b-3p/CD274","SARC",1
"miR-106a-5p/miR-224-5p/PANK3","ACC",1
"miR-301a-3p/miR-362-3p/NRP1","READ",1
"miR-301a-3p/miR-500a-5p/ZIC5","ESCA",1
"miR-106a-5p/miR-326/EPAS1","UCS",1
"miR-106b-5p/miR-19b-3p/FZD6","SARC",1
"miR-106b-5p/miR-940/ATP2A2","SARC",1
"miR-758-3p/miR-377-5p/SNTN","ESCA",1
"miR-758-3p/miR-381-3p/SAMD12","HNSC",1
"miR-190a-5p/miR-215-5p/KCNMB4","ESCA",1
"miR-191-3p/miR-192-5p/SSTR2","UCS",1
"miR-107/miR-485-5p/HJURP","LGG",1
"miR-10a-5p/let-7g-3p/NPTX1","UCEC",1
"miR-10a-5p/miR-106a-5p/CCND2","OV",1
"miR-7-5p/miR-1-3p/CCND1","LIHC",1
"miR-7-5p/miR-181c-5p/ASH1L","SKCM",1
"miR-7-5p/miR-323a-3p/ZBTB38","READ",1
"miR-10a-5p/miR-30a-5p/E2F7","UVM",1
"miR-10a-5p/miR-455-3p/ZNF281","SARC",1
"miR-10a-5p/miR-501-5p/NPTX1","SARC",1
"miR-1180-3p/miR-148a-3p/ATP8A1","SARC",1
"miR-301a-3p/miR-942-5p/DYNLL2","ACC",1
"miR-301a-3p/miR-99a-5p/SLC44A1","ESCA",1
"miR-301b-3p/miR-130b-3p/ENPP5","ACC",1
"miR-301b-3p/miR-20a-5p/SYBU","UCS",1
"miR-7-5p/miR-548b-3p/LDLR","UCS",1
"miR-760/miR-1249-3p/PRLR","READ",1
"miR-760/miR-212-3p/ATP13A3","THYM",1
"miR-191-5p/miR-196b-5p/AHNAK","SARC",1
"miR-192-5p/miR-142-5p/NSD3","UCS",1
"miR-1180-3p/miR-20b-5p/CHD9","ESCA",1
"miR-1224-5p/miR-18a-3p/IGFBP5","UCEC",1
"miR-301b-3p/miR-454-5p/INSIG1","DLBC",1
"miR-301b-3p/miR-642a-5p/CDK5R1","HNSC",1
"miR-192-5p/miR-214-3p/NRIP1","SARC",1
"miR-193b-3p/miR-205-5p/ELMO2","SKCM",1
"miR-122-5p/miR-1305/MBNL1","TGCT",1
"miR-1226-3p/miR-1305/PPM1A","ACC",1
"miR-193b-3p/miR-20a-3p/TLN1","SKCM",1
"miR-193b-3p/miR-664a-3p/DHX33","DLBC",1
"miR-193b-5p/miR-1271-5p/IDS","CHOL",1
"miR-193b-5p/miR-301b-3p/TGOLN2","TGCT",1
"miR-760/miR-335-5p/ANXA11","UCS",1
"miR-766-3p/miR-136-5p/NUDT3","ACC",1
"miR-767-5p/miR-130a-5p/RUFY2","UVM",1
"miR-767-5p/miR-19a-3p/COL3A1","ESCA",1
"miR-873-5p/miR-19b-1-5p/CCND2","SKCM",1
"miR-302d-3p/miR-485-5p/ABHD15","TGCT",1
"miR-302d-5p/miR-18b-5p/CRIM1","TGCT",1
"miR-194-3p/miR-323a-3p/PSD3","HNSC",1
"miR-194-3p/miR-378a-3p/LDLR","KIRP",1
"miR-195-3p/miR-199b-3p/HOXA9","THYM",1
"miR-195-3p/miR-877-5p/FGF2","SARC",1
"miR-195-5p/miR-1295a/ACTB","THYM",1
"miR-195-5p/miR-130a-3p/MYC","THYM",1
"miR-873-5p/miR-9-5p/NOTCH2","PCPG",1
"miR-874-3p/miR-22-5p/CDC25A","LIHC",1
"miR-3065-3p/miR-142-3p/CREB3L2","STAD",1
"miR-3065-3p/miR-149-5p/PHACTR4","UVM",1
"miR-3065-3p/miR-17-5p/REL","THYM",1
"miR-3065-3p/miR-424-5p/MATR3","LUAD",1
"miR-3065-5p/miR-200c-3p/SLMAP","MESO",1
"miR-30a-3p/miR-30a-5p/NFATC3","THYM",1
"miR-874-3p/miR-29c-3p/CPS1","SARC",1
"miR-874-3p/miR-378c/DIPK1B","LIHC",1
"miR-1226-3p/miR-629-3p/ZNF512B","COAD",1
"miR-1229-3p/miR-1-3p/MKI67","LGG",1
"miR-877-5p/miR-139-5p/COL12A1","SKCM",1
"miR-92a-1-5p/miR-141-3p/DSG2","KIRP",1
"miR-195-5p/miR-143-3p/SP3","SKCM",1
"miR-195-5p/miR-18a-5p/FAM160A1","CESC",1
"miR-1229-3p/miR-204-5p/AGO2","SKCM",1
"miR-1229-3p/miR-628-3p/ZNF711","SKCM",1
"miR-92a-1-5p/miR-615-3p/TIMP3","SKCM",1
"miR-92b-3p/miR-182-5p/KLF12","ACC",1
"miR-195-5p/miR-29b-3p/E2F7","SARC",1
"miR-195-5p/miR-3065-3p/SLC29A2","ACC",1
"miR-30a-3p/miR-328-3p/CD46","UVM",1
"miR-30a-3p/miR-590-5p/THBS1","SARC",1
"miR-195-5p/miR-342-3p/DICER1","SKCM",1
"miR-195-5p/miR-424-5p/GAN","STAD",1
"miR-92b-3p/miR-19b-3p/PRRG4","LIHC",1
"miR-92b-3p/miR-301b-3p/CD2AP","TGCT",1
"miR-30a-3p/miR-96-5p/TSC22D3","THYM",1
"miR-30a-5p/miR-335-3p/ATP6V1C1","LIHC",1
"miR-195-5p/miR-92a-1-5p/ANKRD52","ACC",1
"miR-196b-5p/miR-582-5p/BIRC3","MESO",1
"miR-30a-5p/miR-519a-3p/PCLAF","THYM",1
"miR-30a-5p/miR-9-5p/KIF1B","UCS",1
"miR-30b-3p/miR-224-5p/ZNF573","UCS",1
"miR-92b-3p/miR-30a-5p/EFR3A","OV",1
"miR-92b-3p/miR-33a-5p/SKIL","UCS",1
"miR-92b-3p/miR-541-3p/YIPF4","TGCT",1
"miR-93-3p/miR-142-5p/RAB34","BLCA",1
"miR-196b-5p/miR-589-3p/BIRC3","KIRP",1
"miR-197-3p/miR-181a-5p/N4BP2","UVM",1
"miR-93-3p/miR-149-5p/GPAT4","SKCM",1
"miR-935/miR-18b-5p/TXNIP","TGCT",1
"miR-935/miR-22-5p/MKI67","LGG",1
"miR-197-3p/miR-335-5p/THEMIS2","UVM",1
"miR-197-3p/miR-34a-5p/ABCC3","SARC",1
"miR-1229-3p/miR-671-3p/AUTS2","SKCM",1
"miR-1243/miR-663a/RGS5","TGCT",1
"miR-124-3p/miR-615-3p/TFRC","TGCT",1
"miR-93-5p/miR-144-3p/DAB2","THYM",1
"miR-93-5p/miR-17-5p/KIAA0513","SKCM",1
"miR-199a-3p/miR-149-5p/SGPL1","PCPG",1
"miR-199a-3p/miR-335-5p/VLDLR","BLCA",1
"miR-199a-3p/miR-410-3p/CYP1B1","SARC",1
"miR-199a-3p/miR-455-3p/RPL28","SKCM",1
"miR-199a-3p/miR-493-5p/SCD","PCPG",1
"miR-199a-3p/miR-765/CD44","SKCM",1
"miR-199a-5p/miR-411-3p/GSK3B","PCPG",1
"miR-93-5p/miR-20b-5p/TMEM200C","THYM",1
"miR-939-5p/miR-377-3p/PER3","STAD",1
"miR-30b-3p/miR-30b-5p/MICB","DLBC",1
"miR-30b-5p/miR-183-5p/NFAT5","DLBC",1
"miR-30b-5p/miR-183-5p/PPP1R12A","DLBC",1
"miR-30b-5p/miR-494-3p/BCL2","COAD",1
"miR-30c-1-3p/miR-30c-2-3p/PTK7","LIHC",1
"miR-30c-2-3p/miR-146a-5p/ALG10B","MESO",1
"miR-199b-3p/let-7c-5p/SOD2","MESO",1
"miR-199b-3p/miR-17-5p/VLDLR","UCS",1
"miR-9-3p/miR-130a-3p/STC1","BRCA",1
"miR-940/miR-1180-3p/MAP1B","SARC",1
"miR-199b-3p/miR-411-5p/CEP55","THYM",1
"miR-199b-5p/miR-199a-3p/ITGA3","UCS",1
"miR-30c-2-3p/miR-1976/FASN","SKCM",1
"miR-30c-2-3p/miR-200a-3p/FDPS","LIHC",1
"miR-940/miR-30b-3p/SLFN12L","LUSC",1
"miR-940/miR-497-5p/RECK","MESO",1
"miR-940/miR-500b-5p/GPRC5A","TGCT",1
"miR-940/miR-582-3p/ZFHX3","UCS",1
"miR-30c-5p/miR-7-5p/GIGYF2","SKCM",1
"miR-3127-5p/miR-642a-5p/GALNT10","KICH",1
"miR-942-5p/miR-216a-5p/BCL11B","TGCT",1
