"info","is_mrna_tf","name","selected","shared.name","updown"
"mirna",,"mir-33a-3p","false","mir-33a-3p","mirna"
"mrna","false","BCL2","false","BCL2","down"
"mrna","false","ZFP36L1","false","ZFP36L1","up"
"mrna","false","EPHA7","false","EPHA7","down"
"mrna","true","ETS1","false","ETS1","down"
"mrna","false","FBN1","false","FBN1","down"
"mrna","false","HSPA8","false","HSPA8","up"
"mrna","false","TNC","false","TNC","up"
"mrna","false","IL6ST","false","IL6ST","down"
"mrna","false","KCNN4","false","KCNN4","up"
"mrna","false","LOX","false","LOX","up"
"mrna","false","MAN1A1","false","MAN1A1","down"
"mrna","false","MPP2","false","MPP2","down"
"mrna","true","NFIC","false","NFIC","down"
"mrna","false","NME4","false","NME4","up"
"mrna","false","P2RY1","false","P2RY1","down"
"mrna","false","PLOD2","false","PLOD2","down"
"mrna","false","PRLR","false","PRLR","down"
"mrna","false","PTPN13","false","PTPN13","up"
"mrna","false","STC1","false","STC1","up"
"mrna","true","NR2F2","false","NR2F2","down"
"mrna","false","THBS1","false","THBS1","down"
"mrna","false","TSPAN6","false","TSPAN6","up"
"mrna","false","TUB","false","TUB","down"
"mrna","false","VLDLR","false","VLDLR","down"
"mrna","false","LAT2","false","LAT2","down"
"mrna","true","WT1","false","WT1","up"
"mrna","true","ZNF217","false","ZNF217","down"
"mrna","false","BTG2","false","BTG2","down"
"mrna","false","TUSC3","false","TUSC3","down"
"mrna","false","STC2","false","STC2","up"
"mrna","false","SOCS3","false","SOCS3","up"
"mrna","false","NRXN3","false","NRXN3","down"
"mrna","false","ADAMTS1","false","ADAMTS1","down"
"mrna","false","AKT3","false","AKT3","down"
"mrna","false","TXNIP","false","TXNIP","down"
"mrna","false","DNAJB4","false","DNAJB4","down"
"mrna","false","ADAMTS5","false","ADAMTS5","down"
"mrna","false","DKK1","false","DKK1","up"
"mrna","false","CBX6","false","CBX6","down"
"mrna","false","NPTXR","false","NPTXR","down"
"mrna","false","PHLDA3","false","PHLDA3","up"
"mrna","false","FLRT2","false","FLRT2","down"
"mrna","false","PNKD","false","PNKD","down"
"mrna","false","FAM50B","false","FAM50B","down"
"mrna","true","SIX4","false","SIX4","up"
"mrna","false","SOBP","false","SOBP","down"
"mrna","false","AGPAT4","false","AGPAT4","down"
"mrna","false","PMEPA1","false","PMEPA1","up"
"mrna","true","ZNF512B","false","ZNF512B","down"
"mrna","false","AHNAK","false","AHNAK","down"
"mrna","true","CSRNP3","false","CSRNP3","down"
"mrna","false","CCDC170","false","CCDC170","up"
"mrna","false","CPEB4","false","CPEB4","down"
"mrna","false","SLC35G2","false","SLC35G2","down"
"mrna","false","ANP32E","false","ANP32E","up"
"mrna","false","PARD6B","false","PARD6B","up"
"mrna","false","ZC3H12C","false","ZC3H12C","down"
"mrna","false","FMNL3","false","FMNL3","up"
"mrna","false","TTYH2","false","TTYH2","down"
"mrna","true","ZNF618","false","ZNF618","up"
"mrna","false","GDF7","false","GDF7","down"
"mrna","false","PRUNE2","false","PRUNE2","down"
"mrna","false","NAT8L","false","NAT8L","down"
"mrna","false","SBK1","false","SBK1","up"
"mrna","false","PALM2AKAP2","false","PALM2AKAP2","up"
"mrna","false","RNF165","false","RNF165","down"
"mrna","false","TMEM170B","false","TMEM170B","down"
