geneID,mRNA,mRNAinTriplets,TargetInteractionsofthemRNA
5783,PTPN13,3,32
9424,KCNK6,3,101
57575,PCDH10,3,42
10560,SLC19A2,3,44
2736,GLI2,3,60
91663,MYADM,3,140
6310,ATXN1,3,200
112399,EGLN3,3,37
2296,FOXC1,3,112
4176,MCM7,3,80
5966,REL,3,190
3570,IL6R,3,100
139065,SLITRK4,3,42
80311,KLHL15,3,351
338645,LUZP2,3,37
8482,SEMA7A,3,76
3778,KCNMA1,3,20
5168,ENPP2,3,47
65981,CAPRIN2,3,77
4853,NOTCH2,3,177
619279,ZNF704,3,137
3205,HOXA9,3,111
10051,SMC4,3,64
51232,CRIM1,3,116
10891,PPARGC1A,3,40
7837,PXDN,3,90
3749,KCNC4,3,66
8853,ASAP2,3,58
112937,GLB1L3,3,25
80312,TET1,3,42
5150,PDE7A,3,104
983,CDK1,3,54
168455,CCDC71L,3,102
26018,LRIG1,3,68
6506,SLC1A2,3,51
11078,TRIOBP,3,82
83394,PITPNM3,3,108
138311,DIPK1B,3,75
22806,IKZF3,3,141
9053,MAP7,3,64
3572,IL6ST,3,162
11067,DEPP1,3,34
7222,TRPC3,3,35
5743,PTGS2,3,48
115207,KCTD12,3,81
57473,ZNF512B,3,132
8614,STC2,3,138
558,AXL,3,56
54877,ZCCHC2,3,110
80315,CPEB4,3,134
3800,KIF5C,3,64
6711,SPTBN1,3,119
6374,CXCL5,3,66
1374,CPT1A,3,88
148252,DIRAS1,3,37
153830,RNF145,3,35
285704,RGMB,3,128
1850,DUSP8,3,46
11167,FSTL1,3,118
57674,RNF213,3,133
3552,IL1A,3,20
84553,FAXC,3,118
5947,RBP1,3,7
4915,NTRK2,3,17
85464,SSH2,3,102
7094,TLN1,3,159
9695,EDEM1,3,72
771,CA12,3,33
23466,CBX6,3,279
3400,ID4,3,105
2202,EFEMP1,3,25
51804,SIX4,3,167
140688,NOL4L,3,68
55553,SOX6,3,45
2059,EPS8,3,41
11098,PRSS23,3,46
7153,TOP2A,3,67
26960,NBEA,3,33
7071,KLF10,3,115
7975,MAFK,3,121
84272,YIPF4,3,196
1282,COL4A1,3,87
9655,SOCS5,3,121
200424,TET3,3,215
214,ALCAM,3,46
2289,FKBP5,3,90
4297,KMT2A,3,239
158471,PRUNE2,3,47
1000,CDH2,2,41
3783,KCNN4,2,10
51559,NT5DC3,2,93
79933,SYNPO2L,2,77
1063,CENPF,2,76
10810,WASF3,2,50
9369,NRXN3,2,76
9674,KIAA0040,2,56
60,ACTB,2,150
116984,ARAP2,2,62
53615,MBD3,2,103
388228,SBK1,2,85
79901,CYBRD1,2,65
3638,INSIG1,2,128
2920,CXCL2,2,15
3673,ITGA2,2,121
9467,SH3BP5,2,44
54438,GFOD1,2,30
84333,PCGF5,2,86
7035,TFPI,2,75
80162,PGGHG,2,16
22807,IKZF2,2,82
6532,SLC6A4,2,69
55740,ENAH,2,126
3708,ITPR1,2,60
54796,BNC2,2,94
114823,LENG8,2,151
10046,MAMLD1,2,24
1999,ELF3,2,25
1191,CLU,2,80
4983,OPHN1,2,54
23224,SYNE2,2,71
9746,CLSTN3,2,20
119587,CPXM2,2,23
55147,RBM23,2,167
138151,NACC2,2,232
4808,NHLH2,2,19
115827,RAB3C,2,45
195828,ZNF367,2,102
55084,SOBP,2,88
1906,EDN1,2,57
6720,SREBF1,2,69
4355,MPP2,2,68
467,ATF3,2,26
1316,KLF6,2,105
1831,TSC22D3,2,73
5738,PTGFRN,2,91
10643,IGF2BP3,2,70
8204,NRIP1,2,90
55704,CCDC88A,2,40
162073,ITPRIPL2,2,137
8693,GALNT4,2,36
85456,TNKS1BP1,2,109
8653,DDX3Y,2,56
341208,HEPHL1,2,37
56479,KCNQ5,2,43
23405,DICER1,2,253
79589,RNF128,2,20
204851,HIPK1,2,194
150921,TCF23,2,77
718,C3,2,96
9768,PCLAF,2,66
286827,TRIM59,2,71
9918,NCAPD2,2,75
1981,EIF4G1,2,188
7546,ZIC2,2,58
114795,TMEM132B,2,47
10152,ABI2,2,225
53335,BCL11A,2,60
84247,RTL6,2,47
4603,MYBL1,2,79
10370,CITED2,2,53
1601,DAB2,2,57
4238,MFAP3,2,69
3656,IRAK2,2,48
22862,FNDC3A,2,97
4067,LYN,2,72
79047,KCTD15,2,95
375449,MAST4,2,67
23670,CEMIP2,2,167
54813,KLHL28,2,173
6645,SNTB2,2,119
3915,LAMC1,2,149
57761,TRIB3,2,55
29899,GPSM2,2,53
7158,TP53BP1,2,41
29126,CD274,2,57
4054,LTBP3,2,56
6781,STC1,2,60
1843,DUSP1,2,55
3838,KPNA2,2,115
64151,NCAPG,2,34
23366,KIAA0895,2,69
92126,DSEL,2,136
23512,SUZ12,2,82
8848,TSC22D1,2,73
5754,PTK7,2,41
6299,SALL1,2,72
3667,IRS1,2,55
3481,IGF2,2,88
10040,TOM1L1,2,12
8851,CDK5R1,2,50
54742,LY6K,2,44
8714,ABCC3,2,14
56938,ARNTL2,2,51
23467,NPTXR,2,100
342892,ZNF850,2,103
23710,GABARAPL1,2,56
552,AVPR1A,2,39
80012,PHC3,2,129
6653,SORL1,2,31
4026,LPP,2,198
10395,DLC1,2,128
84159,ARID5B,2,151
5295,PIK3R1,2,104
10116,FEM1B,2,174
3930,LBR,2,134
23362,PSD3,2,98
26973,CHORDC1,2,89
55824,PAG1,2,92
10592,SMC2,2,39
5328,PLAU,2,13
3953,LEPR,2,21
22903,BTBD3,2,130
51104,ABHD17B,2,72
677,ZFP36L1,2,151
80110,ZNF614,2,46
57568,SIPA1L2,2,46
993,CDC25A,2,82
4121,MAN1A1,2,24
1520,CTSS,2,26
330,BIRC3,2,52
317,APAF1,2,97
205327,C2orf69,2,51
1946,EFNA5,2,67
5813,PURA,2,176
84144,SYDE2,2,35
84248,FYTTD1,2,113
285513,GPRIN3,2,103
4782,NFIC,2,331
10855,HPSE,2,62
1462,VCAN,2,74
2550,GABBR1,2,62
8863,PER3,2,28
10468,FST,2,32
1718,DHCR24,2,101
3685,ITGAV,2,68
100507421,TMEM178B,2,88
57214,CEMIP,2,58
100507436,MICA,2,89
79646,PANK3,2,232
283373,ANKRD52,2,325
83667,SESN2,2,143
79689,STEAP4,2,25
596,BCL2,2,87
2033,EP300,2,116
7428,VHL,2,86
2005,ELK4,2,215
9639,ARHGEF10,2,18
23230,VPS13A,2,38
84952,CGNL1,2,60
29028,ATAD2,2,63
26147,PHF19,2,126
165631,PARP15,2,104
51427,ZNF107,2,150
57534,MIB1,2,86
150468,CKAP2L,2,46
9824,ARHGAP11A,2,61
85446,ZFHX2,2,30
81848,SPRY4,2,162
3037,HAS2,2,67
154043,CNKSR3,2,160
342035,GLDN,2,19
3710,ITPR3,2,20
8854,ALDH1A2,2,28
51301,GCNT4,2,33
51809,GALNT7,2,58
22836,RHOBTB3,2,111
5569,PKIA,2,45
1278,COL1A2,2,89
54629,MINDY2,2,72
6860,SYT4,2,22
26137,ZBTB20,2,134
952,CD38,2,21
6502,SKP2,2,44
7068,THRB,2,60
463,ZFHX3,2,200
3554,IL1R1,2,23
10140,TOB1,2,67
26509,MYOF,2,33
154810,AMOTL1,2,111
9645,MICAL2,2,89
55636,CHD7,2,115
3479,IGF1,2,92
5396,PRRX1,2,50
57478,USP31,2,72
9252,RPS6KA5,2,136
861,RUNX1,2,107
4548,MTR,2,89
2030,SLC29A1,2,91
136,ADORA2B,2,31
8878,SQSTM1,2,75
403341,ZBTB34,2,177
59283,CACNG8,2,171
81856,ZNF611,2,55
4084,MXD1,2,67
26974,ZNF285,2,34
6660,SOX5,2,60
132864,CPEB2,2,100
9002,F2RL3,2,65
134429,STARD4,2,45
494470,RNF165,2,72
672,BRCA1,2,41
50615,IL21R,2,44
9833,MELK,2,21
9830,TRIM14,2,25
3624,INHBA,2,75
182,JAG1,2,37
57695,USP37,2,79
25769,SLC24A2,2,31
2308,FOXO1,2,81
399665,FAM102A,2,76
2651,GCNT2,2,23
6513,SLC2A1,2,63
10451,VAV3,2,130
2113,ETS1,2,92
8879,SGPL1,2,136
202,CRYBG1,2,34
5579,PRKCB,2,58
2649,NR6A1,2,126
25976,TIPARP,2,55
7204,TRIO,2,103
7804,LRP8,2,42
23237,ARC,2,37
29942,PURG,2,25
999,CDH1,2,50
55195,CCDC198,2,49
55183,RIF1,2,161
151888,BTLA,2,49
5139,PDE3A,2,117
2274,FHL2,2,88
7020,TFAP2A,2,81
23607,CD2AP,2,121
3799,KIF5B,1,139
2683,B4GALT1,1,121
124540,MSI2,1,138
6574,SLC20A1,1,100
51122,COMMD2,1,56
9031,BAZ1B,1,69
6672,SP100,1,24
5814,PURB,1,262
23328,SASH1,1,76
23576,DDAH1,1,76
79642,ARSJ,1,46
2747,GLUD2,1,23
80310,PDGFD,1,7
7572,ZNF24,1,98
27443,CECR2,1,60
2814,GP5,1,53
2824,GPM6B,1,17
80205,CHD9,1,139
91748,MIDEAS,1,149
11216,AKAP10,1,68
79085,SLC25A23,1,26
26136,TES,1,81
283383,ADGRD1,1,16
79944,L2HGDH,1,94
3304,HSPA1B,1,99
55653,BCAS4,1,93
23175,LPIN1,1,32
8969,H2AC11,1,64
9120,SLC16A6,1,45
647024,C6orf132,1,73
51195,RAPGEFL1,1,22
5042,PABPC3,1,22
91807,MYLK3,1,109
50861,STMN3,1,46
7594,ZNF43,1,81
9245,GCNT3,1,56
57546,PDP2,1,139
399,RHOH,1,35
8364,H4C3,1,12
27115,PDE7B,1,38
23321,TRIM2,1,58
8804,CREG1,1,20
140707,BRI3BP,1,146
23468,CBX5,1,286
10052,GJC1,1,64
23220,DTX4,1,29
64981,MRPL34,1,38
1399,CRKL,1,179
518,ATP5MC3,1,108
79912,PYROXD1,1,11
7465,WEE1,1,273
91574,MTRFR,1,38
57553,MICAL3,1,23
25758,KIAA1549L,1,41
6722,SRF,1,109
56892,TCIM,1,24
284273,ZADH2,1,75
57464,STRIP2,1,64
3321,IGSF3,1,50
160364,CLEC12A,1,12
3568,IL5RA,1,23
254225,RNF169,1,23
4070,TACSTD2,1,7
2152,F3,1,37
221937,FOXK1,1,326
3791,KDR,1,21
79836,LONRF3,1,56
26108,PYGO1,1,71
493,ATP2B4,1,57
7476,WNT7A,1,12
10079,ATP9A,1,128
7163,TPD52,1,85
4017,LOXL2,1,56
23731,TMEM245,1,178
1073,CFL2,1,108
219699,UNC5B,1,98
10955,SERINC3,1,88
5126,PCSK2,1,27
2305,FOXM1,1,29
8722,CTSF,1,5
283471,TMPRSS12,1,58
85465,SELENOI,1,111
10238,DCAF7,1,243
9530,BAG4,1,97
3690,ITGB3,1,43
25834,MGAT4C,1,30
4763,NF1,1,106
27244,SESN1,1,101
7802,DNALI1,1,10
54014,BRWD1,1,201
51149,MRNIP,1,120
283659,PRTG,1,50
920,CD4,1,38
11278,KLF12,1,44
22936,ELL2,1,105
84002,B3GNT5,1,35
4820,NKTR,1,46
19,ABCA1,1,26
221294,NT5DC1,1,25
114991,ZNF618,1,48
9788,MTSS1,1,16
4281,MID1,1,53
55353,LAPTM4B,1,54
10752,CHL1,1,7
1778,DYNC1H1,1,158
316,AOX1,1,8
84128,WDR75,1,47
4293,MAP3K9,1,151
1295,COL8A1,1,49
2625,GATA3,1,14
127933,UHMK1,1,290
10766,TOB2,1,142
3720,JARID2,1,117
92312,MEX3A,1,116
29968,PSAT1,1,82
5074,PAWR,1,73
158866,ZDHHC15,1,48
7145,TNS1,1,71
64919,BCL11B,1,73
10509,SEMA4B,1,32
23633,KPNA6,1,182
10888,GPR83,1,3
2035,EPB41,1,79
2935,GSPT1,1,92
5450,POU2AF1,1,12
605,BCL7A,1,99
5435,POLR2F,1,64
339500,ZNF678,1,180
27250,PDCD4,1,113
27284,SULT1B1,1,130
10109,ARPC2,1,72
83606,GUCD1,1,46
27125,AFF4,1,176
387837,CLEC12B,1,28
100463486,MTRNR2L8,1,35
253260,RICTOR,1,140
9590,AKAP12,1,54
375248,ANKRD36,1,62
196,AHR,1,112
1362,CPD,1,55
256764,WDR72,1,24
1824,DSC2,1,43
50488,MINK1,1,136
6935,ZEB1,1,53
4659,PPP1R12A,1,110
10396,ATP8A1,1,13
9975,NR1D2,1,73
57460,PPM1H,1,39
440590,ZYG11A,1,102
4223,MEOX2,1,10
51557,LGSN,1,87
84059,ADGRV1,1,18
64282,TENT4B,1,117
57475,PLEKHH1,1,58
57221,ARFGEF3,1,73
4302,MLLT6,1,118
30061,SLC40A1,1,17
57147,SCYL3,1,56
116442,RAB39B,1,21
4604,MYBPC1,1,60
117177,RAB3IP,1,152
83439,TCF7L1,1,6
7106,TSPAN4,1,7
3131,HLF,1,22
240,ALOX5,1,10
2979,GUCA1B,1,13
7133,TNFRSF1B,1,19
79633,FAT4,1,17
367,AR,1,110
1233,CCR4,1,29
79572,ATP13A3,1,155
10499,NCOA2,1,83
8339,H2BC8,1,52
8301,PICALM,1,50
3064,HTT,1,74
51421,AMOTL2,1,136
728340,GTF2H2C,1,49
6092,ROBO2,1,18
11215,AKAP11,1,191
2020,EN2,1,110
6446,SGK1,1,97
9108,MTMR7,1,9
139285,AMER1,1,108
4286,MITF,1,28
11185,INMT,1,64
6160,RPL31,1,19
51765,STK26,1,16
23001,WDFY3,1,71
4092,SMAD7,1,100
7042,TGFB2,1,38
64324,NSD1,1,213
23521,RPL13A,1,84
25966,C2CD2,1,60
8139,GAN,1,209
55466,DNAJA4,1,14
83990,BRIP1,1,39
57587,CFAP97,1,26
84191,CIAO2A,1,20
7026,NR2F2,1,82
79094,CHAC1,1,131
64718,UNKL,1,72
3303,HSPA1A,1,27
4143,MAT1A,1,45
10220,GDF11,1,64
114908,TMEM123,1,68
9852,EPM2AIP1,1,86
255743,NPNT,1,39
11051,NUDT21,1,68
4170,MCL1,1,224
57561,ARRDC3,1,75
9066,SYT7,1,93
151354,LRATD1,1,16
60468,BACH2,1,67
9481,SLC25A27,1,17
8396,PIP4K2B,1,63
9452,ITM2A,1,18
89797,NAV2,1,93
23215,PRRC2C,1,180
166968,MIER3,1,155
4035,LRP1,1,47
64478,CSMD1,1,18
284352,PPP1R37,1,46
79888,LPCAT1,1,53
9194,SLC16A7,1,39
483,ATP1B3,1,77
55088,CCDC186,1,38
65267,WNK3,1,81
4209,MEF2D,1,189
1482,NKX2-5,1,17
78997,GDAP1L1,1,20
57834,CYP4F11,1,35
57801,HES4,1,15
55186,SLC25A36,1,131
23252,OTUD3,1,71
360,AQP3,1,57
10487,CAP1,1,44
8821,INPP4B,1,11
4642,MYO1D,1,60
112939,NACC1,1,311
65084,TMEM135,1,40
7070,THY1,1,39
586,BCAT1,1,83
26010,SPATS2L,1,72
6671,SP4,1,54
6182,MRPL12,1,31
1871,E2F3,1,201
1951,CELSR3,1,103
146223,CMTM4,1,74
9180,OSMR,1,73
433,ASGR2,1,30
908,CCT6A,1,50
51477,ISYNA1,1,44
282996,RBM20,1,74
440270,GOLGA8B,1,67
22849,CPEB3,1,110
1028,CDKN1C,1,14
9900,SV2A,1,28
114987,WDR31,1,42
4784,NFIX,1,144
57209,ZNF248,1,25
27345,KCNMB4,1,22
222171,PRR15,1,17
54941,RNF125,1,95
169792,GLIS3,1,31
57683,ZDBF2,1,40
3763,KCNJ6,1,101
57634,EP400,1,39
57648,KIAA1522,1,59
221477,C6orf89,1,48
9021,SOCS3,1,37
81619,TSPAN14,1,122
3609,ILF3,1,102
1152,CKB,1,23
10391,CORO2B,1,7
414332,LCN10,1,3
6608,SMO,1,12
6132,RPL8,1,20
151648,SGO1,1,47
3910,LAMA4,1,24
8013,NR4A3,1,36
7538,ZFP36,1,100
8615,USO1,1,36
9057,SLC7A6,1,38
23612,PHLDA3,1,116
1281,COL3A1,1,39
160418,TMTC3,1,88
7092,TLL1,1,25
65258,MPPE1,1,76
7855,FZD5,1,71
65108,MARCKSL1,1,89
341640,FREM2,1,36
221037,JMJD1C,1,120
3920,LAMP2,1,70
4012,LNPEP,1,194
9620,CELSR1,1,16
23091,ZC3H13,1,30
10618,TGOLN2,1,149
54058,C21orf58,1,44
9903,KLHL21,1,139
283450,HECTD4,1,53
285590,SH3PXD2B,1,22
22978,NT5C2,1,73
57216,VANGL2,1,42
3675,ITGA3,1,92
23543,RBFOX2,1,117
1993,ELAVL2,1,83
813,CALU,1,115
9497,SLC4A7,1,81
57035,RSRP1,1,22
90627,STARD13,1,48
4043,LRPAP1,1,85
55355,HJURP,1,27
158219,TTC39B,1,69
4064,CD180,1,74
23057,NMNAT2,1,49
9859,CEP170,1,58
57709,SLC7A14,1,44
51278,IER5,1,77
6876,TAGLN,1,37
29127,RACGAP1,1,101
80139,ZNF703,1,138
9632,SEC24C,1,56
8604,SLC25A12,1,57
64127,NOD2,1,6
51776,MAP3K20,1,53
153222,CREBRF,1,199
4540,MT-ND5,1,10
8828,NRP2,1,30
2194,FASN,1,100
3204,HOXA7,1,56
7077,TIMP2,1,70
1595,CYP51A1,1,80
9340,GLP2R,1,65
3589,IL11,1,7
5796,PTPRK,1,39
221178,SPATA13,1,75
8030,CCDC6,1,126
7414,VCL,1,118
5925,RB1,1,70
340554,ZC3H12B,1,58
6510,SLC1A5,1,116
1272,CNTN1,1,11
54541,DDIT4,1,105
83871,RAB34,1,41
1969,EPHA2,1,67
54331,GNG2,1,16
50807,ASAP1,1,87
9736,USP34,1,64
472,ATM,1,117
332,BIRC5,1,92
120,ADD3,1,46
3097,HIVEP2,1,67
23314,SATB2,1,109
11027,LILRA2,1,82
3752,KCND3,1,53
148229,ATP8B3,1,32
1995,ELAVL3,1,47
23086,EXPH5,1,49
10962,MLLT11,1,12
51715,RAB23,1,71
4585,MUC4,1,19
2180,ACSL1,1,30
10811,NOXA1,1,10
94015,TTYH2,1,14
55667,DENND4C,1,69
10541,ANP32B,1,98
84301,DDI2,1,155
55839,CENPN,1,89
64841,GNPNAT1,1,64
4048,LTA4H,1,34
5167,ENPP1,1,43
56924,PAK6,1,32
23008,KLHDC10,1,164
4973,OLR1,1,68
6541,SLC7A1,1,144
5144,PDE4D,1,88
135293,PM20D2,1,70
8490,RGS5,1,61
5156,PDGFRA,1,68
23558,WBP2,1,108
27161,AGO2,1,362
133418,EMB,1,35
4046,LSP1,1,21
8850,KAT2B,1,29
27314,RAB30,1,69
60481,ELOVL5,1,82
7091,TLE4,1,39
8531,YBX3,1,25
6328,SCN3A,1,8
2186,BPTF,1,112
5768,QSOX1,1,123
79669,C3orf52,1,33
26207,PITPNC1,1,40
2182,ACSL4,1,132
85460,ZNF518B,1,53
51279,C1RL,1,69
139411,PTCHD1,1,75
23225,NUP210,1,80
79660,PPP1R3B,1,61
100288413,ERVMER34-1,1,22
5284,PIGR,1,66
83690,CRISPLD1,1,4
166336,PRICKLE2,1,53
23345,SYNE1,1,52
27351,DESI1,1,65
481,ATP1B1,1,46
23085,ERC1,1,113
3215,HOXB5,1,56
3054,HCFC1,1,105
9728,SECISBP2L,1,169
2138,EYA1,1,18
8322,FZD4,1,62
23673,STX12,1,46
5915,RARB,1,29
2810,SFN,1,68
7652,ZNF99,1,98
567,B2M,1,75
6752,SSTR2,1,61
57118,CAMK1D,1,17
9811,CTIF,1,31
162394,SLFN5,1,58
145508,CEP128,1,20
23414,ZFPM2,1,12
23705,CADM1,1,63
414152,C10orf105,1,31
9188,DDX21,1,101
1293,COL6A3,1,29
135228,CD109,1,25
6223,RPS19,1,53
80351,TNKS2,1,102
4148,MATN3,1,39
2615,LRRC32,1,23
51496,CTDSPL2,1,80
8289,ARID1A,1,190
91010,FMNL3,1,101
3714,JAG2,1,30
1869,E2F1,1,74
161291,TMEM30B,1,65
11170,FAM107A,1,31
29990,PILRB,1,65
23352,UBR4,1,153
901,CCNG2,1,58
3788,KCNS2,1,19
65997,RASL11B,1,15
3068,HDGF,1,237
4254,KITLG,1,23
7049,TGFBR3,1,116
64283,ARHGEF28,1,35
7412,VCAM1,1,67
55124,PIWIL2,1,28
128178,EDARADD,1,36
23013,SPEN,1,190
8106,PABPN1,1,177
6689,SPIB,1,86
1938,EEF2,1,153
26086,GPSM1,1,53
84168,ANTXR1,1,42
9144,SYNGR2,1,61
23568,ARL2BP,1,28
26053,AUTS2,1,42
55137,FIGN,1,106
83593,RASSF5,1,35
57181,SLC39A10,1,66
5291,PIK3CB,1,47
56937,PMEPA1,1,84
5822,PWP2,1,13
5603,MAPK13,1,37
29956,CERS2,1,122
10721,POLQ,1,109
164832,LONRF2,1,123
9690,UBE3C,1,109
124935,SLC43A2,1,75
1642,DDB1,1,97
6367,CCL22,1,71
9220,TIAF1,1,25
655,BMP7,1,22
5934,RBL2,1,34
25777,SUN2,1,41
84823,LMNB2,1,263
11064,CNTRL,1,13
26999,CYFIP2,1,24
25825,BACE2,1,110
256006,ANKRD31,1,2
7991,TUSC3,1,15
29967,LRP12,1,44
79905,TMC7,1,35
9764,KIAA0513,1,105
9314,KLF4,1,39
58508,KMT2C,1,137
90102,PHLDB2,1,66
144195,SLC2A14,1,27
4685,NCAM2,1,33
254170,FBXO33,1,32
23095,KIF1B,1,139
254048,UBN2,1,264
23244,PDS5A,1,91
5789,PTPRD,1,57
91607,SLFN11,1,60
23363,OBSL1,1,16
5753,PTK6,1,43
152485,ZNF827,1,85
3990,LIPC,1,48
92154,MTSS2,1,80
4282,MIF,1,6
687,KLF9,1,45
324,APC,1,44
4771,NF2,1,125
90362,FAM110B,1,7
26051,PPP1R16B,1,64
23499,MACF1,1,129
26002,MOXD1,1,8
5217,PFN2,1,59
9044,BTAF1,1,36
93134,ZNF561,1,53
54477,PLEKHA5,1,15
408050,NOMO3,1,9
728927,ZNF736,1,50
80031,SEMA6D,1,64
56895,AGPAT4,1,38
6571,SLC18A2,1,14
867,CBL,1,75
54521,WDR44,1,12
55729,ATF7IP,1,180
1956,EGFR,1,61
26575,RGS17,1,69
25890,ABI3BP,1,15
7763,ZFAND5,1,79
7105,TSPAN6,1,83
5565,PRKAB2,1,69
4830,NME1,1,20
5451,POU2F1,1,239
36,ACADSB,1,53
9686,VGLL4,1,104
8671,SLC4A4,1,28
151449,GDF7,1,23
4277,MICB,1,86
203859,ANO5,1,12
57600,FNIP2,1,71
8061,FOSL1,1,102
93986,FOXP2,1,52
4862,NPAS2,1,14
29841,GRHL1,1,29
9231,DLG5,1,94
1490,CCN2,1,63
346389,MACC1,1,125
11201,POLI,1,40
6715,SRD5A1,1,65
124930,ANKRD13B,1,55
23446,SLC44A1,1,79
54625,PARP14,1,22
7029,TFDP2,1,128
23002,DAAM1,1,52
51280,GOLM1,1,28
84171,LOXL4,1,11
2069,EREG,1,85
26034,IPCEF1,1,52
55008,HERC6,1,9
132299,OCIAD2,1,77
