miRNA1,miRNA2,miRNAPair,CancerTypes,count,BLCA,BRCA,CESC,COAD,ESCA,HNSC,KICH,KIRC,KIRP,LGG,LIHC,LUAD,LUSC,PAAD,PCPG,PRAD,SARC,STAD,TGCT,THCA,THYM,UCEC
hsa-mir-130b-3p,hsa-mir-17-5p,hsa-mir-130b-3p/hsa-mir-17-5p,BRCA - THYM - STAD - BLCA,4,0.0018214936247723133,0.005813953488372093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011737089201877935,0.0,0.0,0.002398081534772182,0.0
hsa-mir-130b-3p,hsa-mir-18a-5p,hsa-mir-130b-3p/hsa-mir-18a-5p,UCEC - THYM - STAD - BLCA,4,0.0018214936247723133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011737089201877935,0.0,0.0,0.002398081534772182,0.05
hsa-mir-17-5p,hsa-mir-18a-5p,hsa-mir-17-5p/hsa-mir-18a-5p,BRCA - SARC - STAD - BLCA,4,0.0018214936247723133,0.005813953488372093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001326259946949602,0.0011737089201877935,0.0,0.0,0.0,0.0
hsa-mir-18a-5p,hsa-mir-19a-3p,hsa-mir-18a-5p/hsa-mir-19a-3p,COAD - SARC - STAD - BLCA,4,0.0018214936247723133,0.0,0.0,0.02040816326530612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001326259946949602,0.0011737089201877935,0.0,0.0,0.0,0.0
hsa-mir-18a-5p,hsa-mir-301a-3p,hsa-mir-18a-5p/hsa-mir-301a-3p,COAD - HNSC - UCEC - BLCA,4,0.0018214936247723133,0.0,0.0,0.02040816326530612,0.0,0.0078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
hsa-mir-19b-3p,hsa-mir-20a-5p,hsa-mir-19b-3p/hsa-mir-20a-5p,BRCA - HNSC - SARC - STAD,4,0.0,0.005813953488372093,0.0,0.0,0.0,0.0078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001326259946949602,0.0011737089201877935,0.0,0.0,0.0,0.0
hsa-mir-301a-3p,hsa-mir-301b-3p,hsa-mir-301a-3p/hsa-mir-301b-3p,HNSC - LUAD - LIHC - BLCA,4,0.0018214936247723133,0.0,0.0,0.0,0.0,0.0078125,0.0,0.0,0.0,0.0,0.03333333333333333,0.023809523809523808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-106a-5p,hsa-mir-20a-5p,hsa-mir-106a-5p/hsa-mir-20a-5p,THYM - STAD - BLCA,3,0.0018214936247723133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011737089201877935,0.0,0.0,0.002398081534772182,0.0
hsa-mir-106a-5p,hsa-mir-429,hsa-mir-106a-5p/hsa-mir-429,HNSC - TGCT - BLCA,3,0.0018214936247723133,0.0,0.0,0.0,0.0,0.0078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017421602787456446,0.0,0.0,0.0
hsa-mir-106a-5p,hsa-mir-93-5p,hsa-mir-106a-5p/hsa-mir-93-5p,THYM - STAD - BLCA,3,0.0018214936247723133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011737089201877935,0.0,0.0,0.002398081534772182,0.0
hsa-mir-127-5p,hsa-mir-145-5p,hsa-mir-127-5p/hsa-mir-145-5p,LGG - STAD - BLCA,3,0.0018214936247723133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.766478342749529E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011737089201877935,0.0,0.0,0.0,0.0
hsa-mir-127-5p,hsa-mir-299-5p,hsa-mir-127-5p/hsa-mir-299-5p,LGG - STAD - BLCA,3,0.0018214936247723133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.766478342749529E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011737089201877935,0.0,0.0,0.0,0.0
hsa-mir-130a-3p,hsa-mir-19a-3p,hsa-mir-130a-3p/hsa-mir-19a-3p,BRCA - HNSC - SARC,3,0.0,0.005813953488372093,0.0,0.0,0.0,0.0078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001326259946949602,0.0,0.0,0.0,0.0,0.0
hsa-mir-130a-3p,hsa-mir-301a-3p,hsa-mir-130a-3p/hsa-mir-301a-3p,LUAD - SARC - BLCA,3,0.0018214936247723133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023809523809523808,0.0,0.0,0.0,0.0,0.001326259946949602,0.0,0.0,0.0,0.0,0.0
hsa-mir-130b-3p,hsa-mir-301a-3p,hsa-mir-130b-3p/hsa-mir-301a-3p,BRCA - LUSC - BLCA,3,0.0018214936247723133,0.005813953488372093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-133a-3p,hsa-mir-410-3p,hsa-mir-133a-3p/hsa-mir-410-3p,HNSC - TGCT - LGG,3,0.0,0.0,0.0,0.0,0.0,0.0078125,0.0,0.0,0.0,3.766478342749529E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017421602787456446,0.0,0.0,0.0
hsa-mir-135b-5p,hsa-mir-19a-3p,hsa-mir-135b-5p/hsa-mir-19a-3p,COAD - BRCA - HNSC,3,0.0,0.005813953488372093,0.0,0.02040816326530612,0.0,0.0078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-141-3p,hsa-mir-182-5p,hsa-mir-141-3p/hsa-mir-182-5p,HNSC - STAD - BLCA,3,0.0018214936247723133,0.0,0.0,0.0,0.0,0.0078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011737089201877935,0.0,0.0,0.0,0.0
hsa-mir-141-3p,hsa-mir-19a-3p,hsa-mir-141-3p/hsa-mir-19a-3p,HNSC - STAD - BLCA,3,0.0018214936247723133,0.0,0.0,0.0,0.0,0.0078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011737089201877935,0.0,0.0,0.0,0.0
hsa-mir-141-3p,hsa-mir-200c-3p,hsa-mir-141-3p/hsa-mir-200c-3p,TGCT - STAD - BLCA,3,0.0018214936247723133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011737089201877935,0.0017421602787456446,0.0,0.0,0.0
hsa-mir-17-5p,hsa-mir-181b-5p,hsa-mir-17-5p/hsa-mir-181b-5p,THYM - SARC - BLCA,3,0.0018214936247723133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001326259946949602,0.0,0.0,0.0,0.002398081534772182,0.0
hsa-mir-17-5p,hsa-mir-19b-3p,hsa-mir-17-5p/hsa-mir-19b-3p,BRCA - SARC - STAD,3,0.0,0.005813953488372093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001326259946949602,0.0011737089201877935,0.0,0.0,0.0,0.0
hsa-mir-17-5p,hsa-mir-20a-3p,hsa-mir-17-5p/hsa-mir-20a-3p,SARC - STAD - BLCA,3,0.0018214936247723133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001326259946949602,0.0011737089201877935,0.0,0.0,0.0,0.0
hsa-mir-17-5p,hsa-mir-93-5p,hsa-mir-17-5p/hsa-mir-93-5p,THYM - STAD - BLCA,3,0.0018214936247723133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011737089201877935,0.0,0.0,0.002398081534772182,0.0
hsa-mir-181b-5p,hsa-mir-20a-5p,hsa-mir-181b-5p/hsa-mir-20a-5p,THYM - SARC - BLCA,3,0.0018214936247723133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001326259946949602,0.0,0.0,0.0,0.002398081534772182,0.0
hsa-mir-182-5p,hsa-mir-183-5p,hsa-mir-182-5p/hsa-mir-183-5p,HNSC - UCEC - BLCA,3,0.0018214936247723133,0.0,0.0,0.0,0.0,0.0078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
hsa-mir-182-5p,hsa-mir-9-5p,hsa-mir-182-5p/hsa-mir-9-5p,HNSC - SARC - TGCT,3,0.0,0.0,0.0,0.0,0.0,0.0078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001326259946949602,0.0,0.0017421602787456446,0.0,0.0,0.0
hsa-mir-183-5p,hsa-mir-7-5p,hsa-mir-183-5p/hsa-mir-7-5p,BRCA - LUSC - TGCT,3,0.0,0.005813953488372093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.0017421602787456446,0.0,0.0,0.0
hsa-mir-18a-5p,hsa-mir-18b-5p,hsa-mir-18a-5p/hsa-mir-18b-5p,COAD - LUSC - BLCA,3,0.0018214936247723133,0.0,0.0,0.02040816326530612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-18a-5p,hsa-mir-19b-3p,hsa-mir-18a-5p/hsa-mir-19b-3p,BRCA - SARC - STAD,3,0.0,0.005813953488372093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001326259946949602,0.0011737089201877935,0.0,0.0,0.0,0.0
hsa-mir-192-5p,hsa-mir-193b-3p,hsa-mir-192-5p/hsa-mir-193b-3p,KIRP - STAD - BLCA,3,0.0018214936247723133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011737089201877935,0.0,0.0,0.0,0.0
hsa-mir-19a-3p,hsa-mir-20a-5p,hsa-mir-19a-3p/hsa-mir-20a-5p,BRCA - HNSC - BLCA,3,0.0018214936247723133,0.005813953488372093,0.0,0.0,0.0,0.0078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-19a-3p,hsa-mir-301a-3p,hsa-mir-19a-3p/hsa-mir-301a-3p,COAD - HNSC - BLCA,3,0.0018214936247723133,0.0,0.0,0.02040816326530612,0.0,0.0078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-19a-3p,hsa-mir-335-3p,hsa-mir-19a-3p/hsa-mir-335-3p,COAD - STAD - BLCA,3,0.0018214936247723133,0.0,0.0,0.02040816326530612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011737089201877935,0.0,0.0,0.0,0.0
hsa-mir-19b-1-5p,hsa-mir-92a-1-5p,hsa-mir-19b-1-5p/hsa-mir-92a-1-5p,SARC - STAD - BLCA,3,0.0018214936247723133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001326259946949602,0.0011737089201877935,0.0,0.0,0.0,0.0
hsa-mir-200b-3p,hsa-mir-200c-3p,hsa-mir-200b-3p/hsa-mir-200c-3p,LGG - STAD - BLCA,3,0.0018214936247723133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.766478342749529E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011737089201877935,0.0,0.0,0.0,0.0
hsa-mir-200b-3p,hsa-mir-429,hsa-mir-200b-3p/hsa-mir-429,HNSC - LUSC - STAD,3,0.0,0.0,0.0,0.0,0.0,0.0078125,0.0,0.0,0.0,0.0,0.0,0.0,0.029411764705882353,0.0,0.0,0.0,0.0,0.0011737089201877935,0.0,0.0,0.0,0.0
hsa-mir-20a-3p,hsa-mir-20a-5p,hsa-mir-20a-3p/hsa-mir-20a-5p,SARC - LIHC - BLCA,3,0.0018214936247723133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.001326259946949602,0.0,0.0,0.0,0.0,0.0
hsa-mir-20a-3p,hsa-mir-501-3p,hsa-mir-20a-3p/hsa-mir-501-3p,SARC - STAD - BLCA,3,0.0018214936247723133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001326259946949602,0.0011737089201877935,0.0,0.0,0.0,0.0
hsa-mir-20a-5p,hsa-mir-93-5p,hsa-mir-20a-5p/hsa-mir-93-5p,THYM - STAD - BLCA,3,0.0018214936247723133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011737089201877935,0.0,0.0,0.002398081534772182,0.0
hsa-mir-20b-5p,hsa-mir-338-3p,hsa-mir-20b-5p/hsa-mir-338-3p,SARC - TGCT - PRAD,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034482758620689655,0.001326259946949602,0.0,0.0017421602787456446,0.0,0.0,0.0
hsa-mir-20b-5p,hsa-mir-363-3p,hsa-mir-20b-5p/hsa-mir-363-3p,HNSC - LUAD - BLCA,3,0.0018214936247723133,0.0,0.0,0.0,0.0,0.0078125,0.0,0.0,0.0,0.0,0.0,0.023809523809523808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-221-3p,hsa-mir-222-3p,hsa-mir-221-3p/hsa-mir-222-3p,SARC - LGG - BLCA,3,0.0018214936247723133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.766478342749529E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.001326259946949602,0.0,0.0,0.0,0.0,0.0
hsa-mir-29a-3p,hsa-mir-29b-3p,hsa-mir-29a-3p/hsa-mir-29b-3p,SARC - TGCT - BLCA,3,0.0018214936247723133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001326259946949602,0.0,0.0017421602787456446,0.0,0.0,0.0
hsa-mir-301a-3p,hsa-mir-454-3p,hsa-mir-301a-3p/hsa-mir-454-3p,BRCA - HNSC - SARC,3,0.0,0.005813953488372093,0.0,0.0,0.0,0.0078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001326259946949602,0.0,0.0,0.0,0.0,0.0
hsa-mir-33a-5p,hsa-mir-33b-5p,hsa-mir-33a-5p/hsa-mir-33b-5p,COAD - LGG - STAD,3,0.0,0.0,0.0,0.02040816326530612,0.0,0.0,0.0,0.0,0.0,3.766478342749529E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011737089201877935,0.0,0.0,0.0,0.0
hsa-mir-369-3p,hsa-mir-377-3p,hsa-mir-369-3p/hsa-mir-377-3p,HNSC - LGG - BLCA,3,0.0018214936247723133,0.0,0.0,0.0,0.0,0.0078125,0.0,0.0,0.0,3.766478342749529E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7c-5p,hsa-mir-125b-2-3p,hsa-let-7c-5p/hsa-mir-125b-2-3p,SARC - TGCT,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001326259946949602,0.0,0.0017421602787456446,0.0,0.0,0.0
hsa-let-7c-5p,hsa-mir-214-3p,hsa-let-7c-5p/hsa-mir-214-3p,BRCA - SARC,2,0.0,0.005813953488372093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001326259946949602,0.0,0.0,0.0,0.0,0.0
hsa-let-7c-5p,hsa-mir-30a-5p,hsa-let-7c-5p/hsa-mir-30a-5p,HNSC - LUAD,2,0.0,0.0,0.0,0.0,0.0,0.0078125,0.0,0.0,0.0,0.0,0.0,0.023809523809523808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7g-3p,hsa-mir-335-3p,hsa-let-7g-3p/hsa-mir-335-3p,BRCA - STAD,2,0.0,0.005813953488372093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011737089201877935,0.0,0.0,0.0,0.0
hsa-mir-1-3p,hsa-mir-31-5p,hsa-mir-1-3p/hsa-mir-31-5p,HNSC - LGG,2,0.0,0.0,0.0,0.0,0.0,0.0078125,0.0,0.0,0.0,3.766478342749529E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-106a-5p,hsa-mir-135a-5p,hsa-mir-106a-5p/hsa-mir-135a-5p,TGCT - PRAD,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034482758620689655,0.0,0.0,0.0017421602787456446,0.0,0.0,0.0
hsa-mir-106a-5p,hsa-mir-141-3p,hsa-mir-106a-5p/hsa-mir-141-3p,TGCT - BLCA,2,0.0018214936247723133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017421602787456446,0.0,0.0,0.0
hsa-mir-106a-5p,hsa-mir-200a-3p,hsa-mir-106a-5p/hsa-mir-200a-3p,TGCT - STAD,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011737089201877935,0.0017421602787456446,0.0,0.0,0.0
hsa-mir-106a-5p,hsa-mir-200c-3p,hsa-mir-106a-5p/hsa-mir-200c-3p,TGCT - BLCA,2,0.0018214936247723133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017421602787456446,0.0,0.0,0.0
hsa-mir-106a-5p,hsa-mir-301a-3p,hsa-mir-106a-5p/hsa-mir-301a-3p,TGCT - BLCA,2,0.0018214936247723133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017421602787456446,0.0,0.0,0.0
hsa-mir-106a-5p,hsa-mir-338-3p,hsa-mir-106a-5p/hsa-mir-338-3p,SARC - TGCT,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001326259946949602,0.0,0.0017421602787456446,0.0,0.0,0.0
hsa-mir-1180-3p,hsa-mir-148b-5p,hsa-mir-1180-3p/hsa-mir-148b-5p,BRCA - STAD,2,0.0,0.005813953488372093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011737089201877935,0.0,0.0,0.0,0.0
hsa-mir-124-3p,hsa-mir-124-5p,hsa-mir-124-3p/hsa-mir-124-5p,TGCT - LGG,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.766478342749529E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017421602787456446,0.0,0.0,0.0
hsa-mir-124-3p,hsa-mir-432-5p,hsa-mir-124-3p/hsa-mir-432-5p,TGCT - LGG,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.766478342749529E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017421602787456446,0.0,0.0,0.0
hsa-mir-124-3p,hsa-mir-494-3p,hsa-mir-124-3p/hsa-mir-494-3p,TGCT - LGG,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.766478342749529E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017421602787456446,0.0,0.0,0.0
hsa-mir-124-3p,hsa-mir-7-5p,hsa-mir-124-3p/hsa-mir-7-5p,TGCT - LGG,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.766478342749529E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017421602787456446,0.0,0.0,0.0
hsa-mir-125a-5p,hsa-mir-30a-5p,hsa-mir-125a-5p/hsa-mir-30a-5p,THYM - LIHC,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002398081534772182,0.0
hsa-mir-125b-5p,hsa-mir-195-5p,hsa-mir-125b-5p/hsa-mir-195-5p,THYM - STAD,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011737089201877935,0.0,0.0,0.002398081534772182,0.0
hsa-mir-125b-5p,hsa-mir-299-5p,hsa-mir-125b-5p/hsa-mir-299-5p,STAD - BLCA,2,0.0018214936247723133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011737089201877935,0.0,0.0,0.0,0.0
hsa-mir-125b-5p,hsa-mir-424-5p,hsa-mir-125b-5p/hsa-mir-424-5p,SARC - TGCT,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001326259946949602,0.0,0.0017421602787456446,0.0,0.0,0.0
hsa-mir-127-3p,hsa-mir-382-5p,hsa-mir-127-3p/hsa-mir-382-5p,TGCT - LIHC,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017421602787456446,0.0,0.0,0.0
hsa-mir-127-5p,hsa-mir-133a-3p,hsa-mir-127-5p/hsa-mir-133a-3p,LGG - BLCA,2,0.0018214936247723133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.766478342749529E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-127-5p,hsa-mir-149-5p,hsa-mir-127-5p/hsa-mir-149-5p,LGG - STAD,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.766478342749529E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011737089201877935,0.0,0.0,0.0,0.0
