TF,count_hgnc_symbol_tf,BLCATFCount,BRCATFCount,CESCTFCount,COADTFCount,ESCATFCount,HNSCTFCount,ACCTFCount,KIRCTFCount,KIRPTFCount,LGGTFCount,LIHCTFCount,LUADTFCount,LUSCTFCount,PAADTFCount,PCPGTFCount,PRADTFCount,SARCTFCount,STADTFCount,TGCTTFCount,THCATFCount,THYMTFCount,UCECTFCount,DLBCTFCount,OVTFCount,SKCMTFCount,UVMTFCount
KLF13,8,1,1,,,,,,,,,,,,1,,,1,,4,,,,,,,
SP4,91,,2,,,,1,,,1,36,,1,,,,1,14,15,15,1,4,,,,,
KLF6,149,19,9,,,,4,1,,,36,,2,1,,,2,20,29,22,1,3,,,,,
MAF,32,4,2,,1,,,,,,,,,,,,,,22,3,,,,,,,
YY1,102,7,14,,,,1,,,,38,,1,,1,,,30,2,2,2,4,,,,,
KDM5B,58,3,9,,2,,4,,,,15,1,1,,3,,1,1,2,,3,12,,,,,1
TFAP4,6,,,,,,,,,,6,,,,,,,,,,,,,,,,
NANOG,1,,,,,,,,,,,,,,,,,,,1,,,,,,,
CTCF,82,,19,,,,,,,,30,,,,,,1,10,11,4,3,3,,,,,1
FOXJ2,99,5,1,,,,1,,,1,41,,,,,,,16,5,27,,2,,,,,
KLF9,84,5,6,,,,,,,,14,1,1,,,,,12,37,8,,,,,,,
POU5F1,10,,3,,,,,,,,,,,,,,,,7,,,,,,,,
ATF7,117,9,9,,2,,1,,,,26,,4,,,,,14,34,16,1,1,,,,,
NFATC1,49,2,8,,2,,,,,,12,1,3,,,,,,20,1,,,,,,,
MEF2C,106,11,9,,1,,1,,,,12,,,,,,,31,33,6,,1,1,,,,
E2F6,15,1,1,,,,1,,,,4,,,,,,,,4,3,,1,,,,,
POU2F2,16,4,,,,,,,,,,,,,,,,2,3,7,,,,,,,
EOMES,1,,,,,,,,,,1,,,,,,,,,,,,,,,,
EHF,5,1,,,,,,,,,3,1,,,,,,,,,,,,,,,
PROX1,4,,1,,,,,,,,,,,,,,,1,,,,2,,,,,
ZNF143,10,,4,,,,,,,,3,1,,,,,,,1,,,1,,,,,
FOXL2,1,,,,,,,,,,1,,,,,,,,,,,,,,,,
TWIST1,29,,,,,,,,,,28,,,,,,,,,,,1,,,,,
GABPA,57,4,,,,,,,,,20,,,,,,,1,31,1,,,,,,,
NCOA3,202,2,26,,,1,5,,,2,79,6,3,,,,1,35,16,5,3,16,1,,,1,
SOX9,5,,,,,,,,,,5,,,,,,,,,,,,,,,,
SMAD3,34,7,2,,,,2,,,,13,,,,,,,3,2,2,,2,1,,,,
SIX5,5,,,,,,,,,,3,,,,,,,2,,,,,,,,,
BCL6,4,,,,,,2,,,,1,,,,,,,,,,1,,,,,,
MBD1,1,,,,,,,,,,,,,,,,,,,1,,,,,,,
STAT5B,30,1,,,,,,,,,18,,,,,,,7,4,,,,,,,,
ARNT,100,7,1,,1,,2,,,,39,,2,,1,,1,5,30,10,1,,,,,,
HNF1B,3,1,,,,,,,,,,,,,,,,,1,1,,,,,,,
NFE2L2,24,1,,,,,1,,,,10,,,,,,,10,,1,,1,,,,,
TGIF2,1,,,,,,,,,,,,,,,,,,1,,,,,,,,
BMAL1,1,,,,,,,,,,,,,,,,,,,1,,,,,,,
BCL11A,26,1,2,,,,1,,,1,5,,,,,1,,1,11,3,,,,,,,
ZBTB33,82,12,11,,,,1,,,,31,,,,,,2,13,7,,2,2,1,,,,
SMAD5,74,,5,,,,,,,,34,,,,1,,,8,18,2,3,3,,,,,
PPARG,7,2,1,,,,,,,,,1,,,,,,1,2,,,,,,,,
PKNOX1,16,,,,,,,,,,3,,,,,,,,6,6,,1,,,,,
STAT5A,3,,,,,,,,,,1,,,,,,,,1,1,,,,,,,
ZBTB11,37,,,,,,,,,,24,,,,,,,,9,3,1,,,,,,
STAT6,7,3,1,,,,,,,,2,,,,,,,,,1,,,,,,,
ZEB1,10,3,1,,,,1,,,,,1,,,,,,,4,,,,,,,,
PBX2,42,,7,,,,,,,,1,,,,,,,4,9,11,,9,,,1,,
E2F2,13,,,1,,,1,,,,3,,,,,,,1,,,,7,,,,,
CEBPA,18,,,,,,,,,,10,,,,,,,1,,2,,5,,,,,
CLOCK,90,3,10,,,,,,,,17,1,1,,,,,8,35,9,1,5,,,,,
IRF3,19,,1,,,,,,,,8,,,,,,,1,3,3,1,2,,,,,
RFX1,7,,,,,,,,,,7,,,,,,,,,,,,,,,,
MAFK,42,1,3,,,,,,,,13,5,,,,,,6,5,4,,3,1,,,,1
REST,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
EPAS1,43,1,1,,,,,,,,32,,,,,,1,6,,1,,1,,,,,
IRF2,73,10,5,,1,,1,,,,15,,1,,,,1,16,,13,,10,,,,,
PPARA,15,,,,,,1,,,,4,1,,,,,1,,2,5,1,,,,,,
TFAP2A,47,5,4,,,,,,,,10,,,,,,,11,10,4,,3,,,,,
HBP1,13,,,,1,,1,,,,2,,,,,,,2,1,6,,,,,,,
NR2F6,19,2,5,,,,,,,,,,,,,,,1,3,1,,7,,,,,
NFYA,3,,1,,,,,,,,,,,,,,,,1,,,1,,,,,
VDR,9,1,,,,,,,,,1,,,1,,,,,,3,2,,1,,,,
JUNB,17,1,,,,,,,,,3,,1,,,,,7,,4,,1,,,,,
PAX5,3,,,,,,,,,,,,,,,,,,1,2,,,,,,,
ATF6,9,1,,,,,,,,,8,,,,,,,,,,,,,,,,
SMAD1,17,,4,,1,,1,,,,2,,,,,,,2,7,,,,,,,,
TEAD4,9,1,1,,,,,,,,1,,,,,,,5,,,,1,,,,,
TCF4,193,21,22,1,1,,4,,,,34,4,2,1,,,2,35,45,11,1,7,2,,,,
FOXO4,3,,,,,,,,,,,,,,,,,,3,,,,,,,,
STAT1,140,13,10,1,,,3,,,,32,1,2,,,1,,47,13,9,2,5,1,,,,
ETS2,3,1,,,,,1,,,,1,,,,,,,,,,,,,,,,
MEIS2,74,18,4,,2,,1,,,,9,2,,,,,,30,,5,1,2,,,,,
MYBL2,14,1,1,,,,,,,,7,,1,,,,,1,1,2,,,,,,,
SP2,12,,1,,,,,,,1,5,,,,,,,,,,,5,,,,,
TFAP2C,3,,1,,,,,,,,2,,,,,,,,,,,,,,,,
BACH1,78,18,4,,1,,1,,,,11,,,,1,,,16,3,10,3,8,1,,,,1
E2F1,174,19,7,,,,1,,,,64,1,,,1,,,46,10,5,1,19,,,,,
E2F4,189,,8,,,,3,,,,98,,3,,,,,1,4,18,1,53,,,,,
HIF1A,580,38,51,,7,1,13,,,1,323,5,14,4,,,3,36,5,6,6,65,2,,,,
MEIS1,59,4,9,,,,,,,,1,,,,,,,15,27,,,3,,,,,
MYC,800,87,30,3,1,,8,,,4,372,14,5,5,2,,,62,31,130,13,28,2,,1,2,
ELF1,132,22,16,1,,,3,,1,,40,2,4,,,1,2,25,14,1,,,,,,,
MBD2,2,,,,,,,,,,1,,,,,,,,,,,1,,,,,
ZNF24,6,2,1,,,,1,,,,2,,,,,,,,,,,,,,,,
CREB3L1,8,,1,,,,,,,,2,,,,,,,1,,3,1,,,,,,
ETV4,3,,,,,,,,,,3,,,,,,,,,,,,,,,,
SREBF1,23,4,6,,1,,,,,,3,1,,,,,,,7,,,,1,,,,
FOXA1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,
NCOA2,120,10,17,,,,,,,,15,,2,1,,,,58,1,12,1,3,,,,,
FOXK2,32,,2,,,,,,1,,15,1,3,,,,,,2,4,2,1,1,,,,
STAT3,305,28,7,,6,1,3,,,,80,1,3,1,,,3,102,44,18,1,7,,,,,
MAFB,21,3,1,,3,,,,,,5,,,,1,,,2,5,,1,,,,,,
RUNX3,2,,1,,,,,,,,,,,,,,,,1,,,,,,,,
STAT2,56,,,,1,,,,,1,6,,1,,,,,33,4,9,,1,,,,,
KLF4,14,2,,,,,1,,,,,1,,1,,,,6,3,,,,,,,,
E2F3,26,3,,,,,,,,,11,,,,,,,7,1,4,,,,,,,
ELF3,3,,,,,,,,,,,1,,,,,,,,2,,,,,,,
GLI2,12,2,3,,,,,,,,1,,,,,,1,,4,1,,,,,,,
JUN,87,29,8,,,,1,,,,18,,,,,,,6,4,15,,5,1,,,,
PBX3,42,3,1,,3,2,1,,,,3,,,,,,,,20,1,,8,,,,,
WT1,3,,,,,1,,,,,,,,,,,,1,,1,,,,,,,
MAX,13,1,,,,,,,,,1,,,,,,,8,,2,,1,,,,,
FOSL1,4,1,,,,,,,,,,,,,,,,,,3,,,,,,,
RBPJ,80,1,10,,1,,2,,,1,18,,3,4,,,2,1,11,23,2,,,,1,,
NFYB,59,,3,,,,1,,,,25,2,,,,,,12,4,,1,10,1,,,,
ESRRA,13,,,,,,,,,,,,,,,,,,,12,,1,,,,,
POU2F1,86,,11,,,,4,,,,46,,2,,,,,21,,1,1,,,,,,
BATF,2,,,,,,,,,,,,,,,,,1,,1,,,,,,,
E2F7,45,2,4,,1,,1,,,,6,,2,1,,,,11,3,12,,2,,,,,
CREM,10,2,2,,,,,,,,,,1,,,,,2,1,,,2,,,,,
KLF3,36,7,3,,,,2,,,,,,1,,,,,12,6,4,,1,,,,,
THAP11,1,,,,,,1,,,,,,,,,,,,,,,,,,,,
TP63,1,,,,,,,,,,,,,,,,,,,1,,,,,,,
MXI1,15,,1,,,,,,,,5,,,,,,,3,5,1,,,,,,,
ZNF592,12,,,,,,,,,,6,,,,,,,6,,,,,,,,,
IRF1,30,3,1,,,,,,,2,4,,,,,,,7,4,8,,1,,,,,
TEAD2,2,1,,,,,,,,,1,,,,,,,,,,,,,,,,
TCF7,11,,3,,,,,,,,2,,,,,,,6,,,,,,,,,
NEUROD1,1,,,,,,,,,,1,,,,,,,,,,,,,,,,
MYB,8,1,,,,,,,,,1,,,,,,,,4,2,,,,,,,
HOXA9,3,,1,,,,,,,,,,,,,,,,,2,,,,,,,
KLF5,36,10,,,,,,,,,,,,,2,,,8,10,3,,3,,,,,
SOX13,11,1,,,,,,,,,5,,,,,,,2,,2,,1,,,,,
AR,224,6,22,,2,2,4,,,1,43,3,1,,1,,1,66,38,2,,31,1,,,,
ARID2,206,43,11,,,,2,,,1,40,1,,,,,,37,61,,6,4,,,,,
ZKSCAN1,66,16,4,,,,,,,2,2,5,,,,4,,11,5,12,1,4,,,,,
SREBF2,16,3,,,,,,,,,11,,,,,,,2,,,,,,,,,
SPI1,13,5,,,1,,,,,,,,,,,,,2,5,,,,,,,,
RUNX1,16,3,,,,,,,,,1,,,,,,,5,3,4,,,,,,,
GATA6,62,31,4,,,,1,,,,,,1,1,,,,5,1,13,2,2,1,,,,
EBF1,13,2,3,,,,,,,,2,,1,,1,,,1,3,,,,,,,,
ZEB2,12,3,,,,,1,,,,,,,,,1,,,7,,,,,,,,
FLI1,11,1,,,,,,,,,9,,,,,,,1,,,,,,,,,
SOX11,80,3,8,,1,,,,,,55,,1,,1,,,3,2,4,2,,,,,,
SOX2,11,,,,,,,,,,11,,,,,,,,,,,,,,,,
NRF1,40,4,4,,,,,,,,23,,,,,,,1,,1,2,5,,,,,
MAFG,13,,4,,,,1,,,,3,,,,,,,,1,3,,1,,,,,
THAP1,8,,,,,,,,,,3,,,,,,,1,1,2,,,1,,,,
SOX6,19,2,4,,,,,,,,9,,,,,,,2,,2,,,,,,,
ESR1,190,21,24,2,3,1,5,,,,21,2,6,1,,,3,36,27,26,5,6,1,,,,
NCOA1,56,5,6,,,,,,,,1,,,,,,,15,25,4,,,,,,,
ELK4,119,6,4,,,,,,,,54,1,,,,,,1,33,20,,,,,,,
NR3C1,21,,6,,,,,,,,5,,,,,,,,8,,,,2,,,,
MEF2A,685,77,24,,3,1,10,,2,2,73,1,2,,,,2,223,200,45,2,17,,,1,,
