miRNA,count_miRNA,BLCAMirnaCount,BRCAMirnaCount,CESCMirnaCount,COADMirnaCount,ESCAMirnaCount,HNSCMirnaCount,KICHMirnaCount,KIRCMirnaCount,KIRPMirnaCount,LGGMirnaCount,LIHCMirnaCount,LUADMirnaCount,LUSCMirnaCount,PAADMirnaCount,PCPGMirnaCount,PRADMirnaCount,SARCMirnaCount,STADMirnaCount,TGCTMirnaCount,THCAMirnaCount,THYMMirnaCount,UCECMirnaCount
hsa-mir-125b-5p,51,18,,,,,,,,,,,,,,,,5,3,3,,22,
hsa-mir-655-3p,4,,,,,,,,,,3,,,,,,,,1,,,,
hsa-mir-193b-5p,3,,1,,,,,,,,,,,,,,,1,,1,,,
hsa-mir-26b-5p,20,,,,,,,,,,,,,,,,,,20,,,,
hsa-mir-133a-3p,134,3,,,,,4,,,,121,,1,,,1,,,2,2,,,
hsa-mir-379-5p,3,,,,,,,,,,2,,,,,,,1,,,,,
hsa-mir-127-3p,3,,,,,,,,,,,1,,,,,,,,2,,,
hsa-mir-580-3p,9,,,,,,,,,,,,,,,,,,,,,9,
hsa-mir-204-5p,28,7,1,,,,1,,1,,8,,2,,6,,,,,,2,,
hsa-mir-376b-3p,15,,,,,,,,,,15,,,,,,,,,,,,
hsa-mir-21-5p,33,,,,,,,,,,5,,,,,,,28,,,,,
hsa-mir-432-5p,19,,,,,,,,,,15,,,,,,,2,,2,,,
hsa-mir-149-5p,102,2,3,,,,,,,,83,,,,,,4,1,7,,,2,
hsa-mir-185-3p,87,5,2,,,,,,,,77,,,,,,,,3,,,,
hsa-mir-377-5p,71,,,,,,,,,,68,,,,,,,,,3,,,
hsa-mir-34b-3p,6,1,,,,,,,,,4,,,,,,,,,1,,,
hsa-mir-577,15,,,,1,,,,,,2,,,,,,,,9,,3,,
hsa-mir-30c-5p,3,,,,,,3,,,,,,,,,,,,,,,,
hsa-mir-105-5p,35,,,,,,,,,,34,,,,,,,,,1,,,
hsa-mir-371a-5p,3,,,,,,,,,,,,,,,,,,,3,,,
hsa-mir-769-3p,14,3,5,,,,,,,,2,,,,,,,1,3,,,,
hsa-mir-187-3p,8,,,,,,,,,,8,,,,,,,,,,,,
hsa-mir-532-3p,33,,8,,,,,,,,,,,,,,,16,9,,,,
hsa-mir-195-3p,19,,,,,,,,,,,,,,,,,,,5,,14,
hsa-mir-433-3p,11,,,,,,,,,,11,,,,,,,,,,,,
hsa-mir-455-5p,3,,,,,,,,,,1,,,,,,,,1,1,,,
hsa-mir-196a-5p,9,1,1,,,,,,,,,,,,,,,,5,1,,1,
hsa-mir-16-2-3p,42,,6,,1,,,,,,12,,,,,,,,16,,,7,
hsa-mir-582-3p,16,,1,,,,1,,,,9,,,,,,,,,5,,,
hsa-mir-144-5p,4,,,,,,,,,2,1,,,,,,,1,,,,,
hsa-mir-2277-5p,2,,,,,,,,,,,,,,,,,,2,,,,
hsa-mir-20b-3p,15,,,,,,,,,,,,,,,,2,,,12,,1,
hsa-mir-369-3p,104,13,,,,,4,,,,87,,,,,,,,,,,,
hsa-mir-491-5p,39,,1,,,,,,,,28,,,,,,,9,,1,,,
hsa-mir-106b-5p,24,,,,,,,,,,,,,,,,,24,,,,,
hsa-mir-616-5p,17,,,,,,,,,,2,,,,,,,1,,8,4,2,
hsa-mir-200c-3p,86,31,,,,,,,,,4,,,,,,,,34,15,,2,
hsa-mir-526b-3p,16,,,,,,,,,,,,,,,,,,,16,,,
hsa-mir-15a-5p,21,,,,,,,,,,,,,,,,,,,,,21,
hsa-mir-302b-3p,19,,,,,,,,,,,,,,,,,,,19,,,
hsa-mir-1305,8,,,,,,,,,,,,,,,,,,,8,,,
hsa-mir-527,9,,,,,,,,,,,,,,,,,,,7,,2,
hsa-mir-23b-5p,26,,,,,,,,,,5,,,,,,,,21,,,,
hsa-mir-425-5p,16,5,2,,,,1,,,,3,,,,,,,4,1,,,,
hsa-mir-550a-5p,4,,1,,,,,,,,,,,,,,,,3,,,,
hsa-mir-340-5p,26,,,,,,,,,,,,,,,,,26,,,,,
hsa-mir-126-3p,1,1,,,,,,,,,,,,,,,,,,,,,
hsa-mir-138-5p,50,,,,,,,,,1,36,,,,,,,,,,13,,
hsa-mir-153-3p,7,,2,,,,,,,,,,,,2,,,,3,,,,
hsa-mir-24-2-5p,3,,,,,,,,,,,,,,,,,3,,,,,
hsa-mir-550a-3p,10,,1,,,,,,,,1,,,,,,,,8,,,,
hsa-mir-192-3p,5,1,,,,,,,,,,,,,,,,,,4,,,
hsa-mir-330-3p,81,,,,,,,,,1,80,,,,,,,,,,,,
hsa-mir-452-5p,6,,1,,,,,,,,1,,,,,,,,2,1,,1,
hsa-mir-455-3p,14,1,,,,,,,,,,,,,,,,6,6,1,,,
hsa-mir-26b-3p,32,,2,,,,,,,,,,1,,,,,,29,,,,
hsa-mir-502-3p,4,,,,,,,,,,,,,,,,,4,,,,,
hsa-mir-27a-3p,15,,,,,,,,,,15,,,,,,,,,,,,
hsa-mir-520g-3p,17,,,,,,,,,,,,,,,,,,,2,,15,
hsa-mir-26a-5p,1,,,,,,,,,,,,,,,,,1,,,,,
hsa-mir-627-5p,10,,,,,,,,,,,,,,,,,2,7,,,1,
hsa-mir-302a-3p,48,,,,,,,,,,,,,,,,,,,48,,,
hsa-mir-184,37,,9,,,,,,,,25,,,,,,,,,3,,,
hsa-mir-302d-5p,3,,,,,,,,,,,,,,,,,,,3,,,
hsa-mir-18a-5p,113,23,4,,7,,6,,,,14,2,1,2,,,,25,11,,,14,4
hsa-mir-1307-3p,14,10,,,,,,,,,,,,,,,,4,,,,,
hsa-mir-149-3p,12,2,,,,,,,,,10,,,,,,,,,,,,
hsa-mir-2355-3p,2,,1,,,,,,,,,,,,,,,,1,,,,
hsa-mir-27a-5p,27,2,3,,,,,,,,,,,,,,,13,9,,,,
hsa-mir-100-3p,2,,,,,,,,,,2,,,,,,,,,,,,
hsa-mir-1296-5p,72,,,,,,,,,,72,,,,,,,,,,,,
hsa-mir-654-3p,26,,,,,,,,,,22,,,,,,,,3,,,1,
hsa-mir-125a-3p,6,,,,,,,,,,5,,,,,,,1,,,,,
hsa-mir-376a-5p,5,,,,,,,,,,4,,,,,,,,1,,,,
hsa-mir-3651,7,,,,,,1,,,,,,,,,,,,1,5,,,
hsa-mir-92a-1-5p,50,11,1,,,,2,,,,,,,,,,,13,17,2,,4,
hsa-mir-33b-5p,59,,,,6,,2,,,,29,,,,1,,,5,13,,1,2,
hsa-mir-323a-3p,80,,,,,,,,,,77,,,,,,,3,,,,,
hsa-mir-1306-3p,6,,2,,,,,,,,,,,,,,,1,3,,,,
hsa-mir-431-3p,8,,,,,,,,,,5,,,,,,,3,,,,,
hsa-mir-122-5p,9,,,,,,,,,,,,,,,,,,,9,,,
hsa-mir-302b-5p,7,,,,,,,,,,,,,,,,,,,7,,,
hsa-mir-132-3p,49,,,,,,,,,,27,,,,,,,22,,,,,
hsa-mir-101-3p,33,,,,,,,,,,33,,,,,,,,,,,,
hsa-mir-519c-3p,14,,,,,,,,,,,,,,,,,,,10,,4,
hsa-mir-520c-3p,31,,,,,,,,,,,,,,,,,,,17,,14,
hsa-mir-33b-3p,1,,,,,,,,,,,,,,,,,,,1,,,
hsa-mir-34c-3p,1,,,,,,,,,,,,,,,,,,,1,,,
hsa-mir-33a-5p,97,,,,4,,,,,,66,,1,,,,3,1,22,,,,
hsa-mir-133b,17,1,,,,,6,,,,,,,,1,,,,9,,,,
hsa-mir-421,37,3,2,,,,,,,,4,,1,,,,,3,24,,,,
hsa-mir-1-3p,129,,,,,,2,,,2,122,,,,,,,2,1,,,,
hsa-mir-337-3p,6,,,,,,2,,,,4,,,,,,,,,,,,
hsa-mir-23b-3p,35,,,,,,,,,,34,,,,,,,1,,,,,
hsa-mir-671-5p,21,8,,,,,,,,,2,,,,,,,4,7,,,,
hsa-mir-744-5p,9,7,,,,,,,,,,,,,,,,2,,,,,
hsa-mir-362-5p,31,,1,,2,,,,,,,,1,,,,,13,14,,,,
hsa-mir-210-3p,10,3,1,,1,,,,,,,,,,,,,,5,,,,
hsa-mir-205-5p,13,6,3,,,,,,,,,,,,,,1,,,2,,1,
hsa-mir-29b-3p,205,22,,,,,3,,,,150,,3,,,,,11,,16,,,
hsa-mir-1229-3p,16,,,,,,,,,,16,,,,,,,,,,,,
hsa-mir-150-5p,32,5,1,,,,,,,,19,,,,,,,2,4,,,1,
hsa-mir-129-5p,97,,2,,,,1,,,,70,,,1,12,,1,2,2,,,5,1
hsa-mir-183-5p,77,17,3,,,,3,,,,4,3,2,1,,,,14,21,6,,1,2
hsa-mir-30a-5p,48,,2,,,,8,,,,,5,1,,,,,,3,,,29,
hsa-mir-589-3p,21,6,,,1,,,,,,,1,1,1,,,,7,4,,,,
hsa-mir-576-5p,4,,,,,,,,,,,,,,,,,,4,,,,
hsa-mir-299-5p,180,12,,,,,,,,,141,,,,,,,14,5,,,8,
hsa-mir-383-5p,101,,,,,,,,,,100,,,,,,,,,,,1,
hsa-mir-92b-3p,17,,1,,,,,,,,,,,,,,,,,14,,2,
hsa-mir-512-5p,7,,,,,,,,,,,,,,,,,,,7,,,
hsa-mir-29a-3p,30,8,,,,,,,,,,,,,,,,11,,11,,,
hsa-mir-10a-5p,17,10,,,,,2,,,,,,,,,,,,,,,,5
hsa-mir-330-5p,51,,,,,,,,,,45,,,,,,,6,,,,,
hsa-mir-342-3p,10,3,2,,,,,,,,,1,,,,,,,4,,,,
hsa-mir-1228-3p,13,,,,,,,,,,13,,,,,,,,,,,,
hsa-mir-889-3p,34,,,,,,,,,,32,,,,,,,,,,2,,
hsa-mir-744-3p,32,1,,,,,,,,,23,,,,,,,2,6,,,,
hsa-mir-3609,1,,,,,,,,,,,,,,,,,,,1,,,
hsa-mir-766-3p,100,8,6,,,,,,,,64,1,,,,,,4,,3,,14,
hsa-mir-215-5p,11,1,1,,,1,,,1,,,,,,,,,1,2,,,4,
hsa-mir-379-3p,12,,,,,,,,,,12,,,,,,,,,,,,
hsa-mir-181b-5p,47,12,,,,,,,,,,,,,,,,23,,,,12,
hsa-mir-219a-5p,5,,,,,,,,,,5,,,,,,,,,,,,
hsa-mir-515-5p,4,,,,,,,,,,,,,,,,,,,4,,,
hsa-mir-148b-5p,20,5,2,,,,,,,,2,,,,,,,,11,,,,
hsa-mir-200b-3p,91,13,,,,,3,,,,8,,,8,,,,19,24,16,,,
hsa-mir-20a-3p,52,15,1,,2,,7,,,,,2,,1,,,,17,7,,,,
hsa-mir-501-5p,10,1,1,,,,,,,,,2,,,,,,1,5,,,,
hsa-mir-511-5p,4,,2,,,,,,,,,,,,,,,1,1,,,,
hsa-mir-2113,2,,,,,,,,,,,,,,,,,,,2,,,
hsa-mir-3662,5,,,,,,1,,,,,,,,,,,,,2,,2,
hsa-mir-196b-5p,29,11,,,2,,,,,,1,,,,,,,3,5,,,7,
hsa-mir-410-3p,192,,3,,,,3,,,,181,,,,,2,,,,1,1,1,
hsa-mir-1226-3p,7,,1,,,,,,,,4,,,,,,,,,2,,,
hsa-mir-138-1-3p,29,,,,,,,,,,27,,,,,,,,,,2,,
hsa-mir-516b-5p,5,,,,,,,,,,,,,,,,,,,4,,1,
hsa-mir-1301-3p,18,1,1,,,,,,,,,,,,,,,,16,,,,
hsa-mir-296-3p,2,,,,,,,,,,,,,,,,,,,2,,,
hsa-mir-223-5p,23,1,4,,,,,,,,2,,,,,,,9,3,4,,,
hsa-mir-181a-5p,44,,,,,,,,,,,,,,,,,27,,,,17,
hsa-mir-519d-3p,44,,,,,,,,,,,,,,,,,,,12,,32,
hsa-mir-151a-5p,7,,,,,,,,,,,,,,,,,,7,,,,
hsa-mir-367-3p,11,,,,,,,,,,,,,,,,,,,11,,,
hsa-mir-146b-5p,9,3,,,,,,,,,3,,,,,,,2,1,,,,
hsa-mir-1271-5p,10,,3,,,,,,,,,,,,,,,,3,1,,3,
hsa-mir-514a-3p,2,,,,1,,,,,1,,,,,,,,,,,,,
hsa-mir-148a-5p,34,,,,,,1,,,,11,,,,,,,3,19,,,,
hsa-mir-219a-2-3p,1,,,,,,,,,,1,,,,,,,,,,,,
hsa-mir-378c,10,,,,,,,,,,6,1,,,,,,2,,1,,,
hsa-mir-16-1-3p,24,,,,3,,,,,,,,,,,,,9,,,,12,
hsa-mir-222-3p,21,2,1,,,,,,,,17,,,,,,,1,,,,,
hsa-mir-877-5p,19,5,,,,,,,,,10,3,,,,,,,,,,,1
hsa-mir-31-3p,4,,,,,,1,,,,,,,,,,,,,,,3,
hsa-mir-100-5p,4,1,,,,1,,,,,,,,,,1,,,,1,,,
hsa-mir-150-3p,2,,1,,,,,,,,,,,,,,,,,,,1,
hsa-mir-512-3p,18,,,,,,,,,,,,,,,,,,,5,,13,
hsa-mir-224-3p,1,,1,,,,,,,,,,,,,,,,,,,,
hsa-mir-338-5p,23,,,,,,,,,,18,,,,,,,3,1,,1,,
hsa-mir-190a-5p,2,,,,,,,,,,,,,,,,,1,1,,,,
hsa-mir-411-3p,19,,,,,,,,,,18,,,,,,,,,1,,,
hsa-mir-139-5p,13,,,,,,,,,,8,1,,,2,,,,,2,,,
hsa-mir-154-3p,1,,,,,,,,,,1,,,,,,,,,,,,
hsa-mir-22-3p,8,,,,,,,,,,,,,,,,,8,,,,,
hsa-mir-34a-3p,5,,,,,,,,,,,,,,,,,,3,2,,,
hsa-mir-214-3p,30,,1,,,,,,,,,,,,,,,29,,,,,
hsa-mir-505-3p,20,,1,,,,,,,,,,,,,,,2,17,,,,
hsa-mir-320d,6,,,,,,,,,,1,,,,,,,,5,,,,
hsa-mir-2114-5p,2,,,,,,,,,,2,,,,,,,,,,,,
hsa-mir-142-5p,43,2,,,,,1,,,,6,,,,,,,3,10,9,,12,
hsa-mir-503-5p,47,1,1,,,,4,,,,,,1,,,,1,21,16,2,,,
hsa-mir-183-3p,1,,,,,,,,,,,,,,,,,,,1,,,
hsa-mir-328-3p,4,1,3,,,,,,,,,,,,,,,,,,,,
hsa-mir-186-5p,7,,,,,,,,,,,,,,,,,7,,,,,
hsa-mir-1468-5p,1,,,,,,,,,,,,,,,,,1,,,,,
hsa-mir-200b-5p,1,,,,,,1,,,,,,,,,,,,,,,,
hsa-mir-212-3p,27,1,,,,,,,,,26,,,,,,,,,,,,
hsa-mir-3691-5p,4,,,,,,,,,,,,,,,,,,,4,,,
hsa-mir-221-5p,24,,4,,,,,,,,,,,,,,,4,15,,1,,
hsa-mir-136-3p,5,,,,,,,,,,5,,,,,,,,,,,,
hsa-mir-32-3p,3,2,,,,,,,,,1,,,,,,,,,,,,
hsa-mir-501-3p,22,6,1,,,,,,,,,,,,,,,12,3,,,,
hsa-mir-151a-3p,4,4,,,,,,,,,,,,,,,,,,,,,
hsa-mir-30b-3p,15,1,1,,,,,,,,,,,,,,,8,5,,,,
hsa-mir-570-3p,8,,,,6,,,,,,,,,1,,,,,,,,1,
hsa-mir-548t-5p,12,,,,,,,,,,,,,,,,,,,,,12,
hsa-mir-500a-3p,1,,,,,,,,,,,,,,,,,1,,,,,
hsa-mir-25-5p,6,,,,,,,,,,,,,,,,,,,6,,,
hsa-mir-1180-3p,13,2,1,,1,,3,,,,,,,,,,,,6,,,,
hsa-mir-130a-5p,2,1,,,,,,,,,,,,,,,,1,,,,,
hsa-mir-1275,1,,,,1,,,,,,,,,,,,,,,,,,
hsa-mir-33a-3p,44,9,,,2,,,,,,12,,,,,,5,,15,,,1,
hsa-mir-3065-3p,47,2,,,,,,,,,6,,,,1,,,32,2,3,1,,
hsa-mir-101-5p,3,,1,,,,,,,,,,,,,,,,,,,2,
hsa-mir-3928-3p,11,3,1,,,,,,,,,,,,,,,,7,,,,
hsa-mir-219a-1-3p,9,2,,,,,,,,,,,,,,,,2,4,1,,,
hsa-mir-10b-5p,11,,,,,,,,,,8,,,,,,,3,,,,,
hsa-mir-590-3p,18,,6,,,,,,,,,,,,,,,12,,,,,
hsa-mir-144-3p,11,,,,,,,,,1,3,,,,,,,,7,,,,
hsa-mir-373-5p,6,,,,,,,,,,,,,,,,,,,6,,,
hsa-mir-320c,9,2,,,,,,,,,,,,,,,,,7,,,,
hsa-mir-378a-3p,51,3,1,,,,,,,2,27,1,,,,,,3,1,13,,,
hsa-mir-193a-3p,2,,,,,,,,,,,,,,,,,2,,,,,
hsa-mir-519b-3p,19,,,,,,,,,,,,,,,,,,,19,,,
hsa-mir-20a-5p,153,34,8,,,,13,,,,,5,3,3,,,,10,52,,,25,
hsa-mir-339-3p,4,,,,,,,,,,,,,,,,,4,,,,,
hsa-mir-19b-3p,118,,21,,,,12,,,,,2,,3,,,,34,46,,,,
hsa-mir-760,20,,1,,,,,,,,15,,,,,,,,2,1,,1,
hsa-mir-148a-3p,141,,3,,,,,,,,11,,,,,,,61,48,,18,,
hsa-mir-1976,15,,,,,,,,,,8,,,,,,,7,,,,,
hsa-mir-362-3p,103,16,,,,,,,,,1,,,,,,1,32,53,,,,
hsa-mir-143-3p,9,1,,,,,,,,1,4,,,,,1,,,2,,,,
hsa-mir-3613-5p,42,,,,,,,,,,,,,,,,,4,34,,,4,
