miRNA,count_miRNA,BLCAMirnaCount,BRCAMirnaCount,CESCMirnaCount,COADMirnaCount,ESCAMirnaCount,HNSCMirnaCount,ACCMirnaCount,KIRCMirnaCount,KIRPMirnaCount,LGGMirnaCount,LIHCMirnaCount,LUADMirnaCount,LUSCMirnaCount,PAADMirnaCount,PCPGMirnaCount,PRADMirnaCount,SARCMirnaCount,STADMirnaCount,TGCTMirnaCount,THCAMirnaCount,THYMMirnaCount,UCECMirnaCount,DLBCMirnaCount,OVMirnaCount,SKCMMirnaCount,UVMMirnaCount
hsa-mir-302c-5p,5,,,,,,,,,,,,,,,,,,,5,,,,,,,
hsa-mir-7-1-3p,78,,12,,,,,,,,,,,,,,,28,18,12,,8,,,,,
hsa-mir-494-3p,64,3,,,,,,,,,37,2,,,,,,,12,9,,1,,,,,
hsa-mir-146b-3p,4,,,,,,,,,,3,,,,,,,1,,,,,,,,,
hsa-mir-758-3p,31,,3,,,,1,,,,19,,,,,,,6,,1,,1,,,,,
hsa-mir-518a-3p,7,,,,,,,,,,,,,,,,,,,6,,1,,,,,
hsa-mir-222-5p,63,9,5,1,,,,,,,11,,,,,,,20,17,,,,,,,,
hsa-mir-23a-5p,8,1,,,,,1,,,,,,,,,,,4,2,,,,,,,,
hsa-let-7f-1-3p,35,,4,,,,,,,,29,,,,,,,2,,,,,,,,,
hsa-mir-484,177,,56,,,,,,,,,,,,,,,42,79,,,,,,,,
hsa-mir-3605-3p,3,1,1,,,,,,,,,,,,,,,,1,,,,,,,,
hsa-mir-3912-3p,1,,,,,,,,,,1,,,,,,,,,,,,,,,,
hsa-mir-450a-5p,8,,1,,,,,,,,,,,,,,,6,1,,,,,,,,
hsa-mir-181c-3p,8,1,,,,,,,,,,,,,,,,,,5,,2,,,,,
hsa-mir-302c-3p,28,,,,,,,,,,,,,,,,,,,28,,,,,,,
hsa-mir-452-3p,14,2,1,,1,,1,,,,,,,,,,,3,2,3,,1,,,,,
hsa-mir-665,3,,,,,,,,,,,,,,,,,,,3,,,,,,,
hsa-mir-29a-5p,69,9,30,,,,,,,,,,13,,,,,17,,,,,,,,,
hsa-mir-199a-5p,79,10,8,,,,1,,,1,,5,1,,,2,,22,,22,4,2,1,,,,
hsa-mir-942-5p,102,15,8,,3,,,,,,12,3,,,,,,16,33,11,,,1,,,,
hsa-mir-509-3p,15,,,,,,,,,,12,,,,,,,2,1,,,,,,,,
hsa-mir-135a-3p,1,,,,,,,,,,,,,,,,,,,,,,,,1,,
hsa-mir-18a-3p,56,13,4,,4,,3,,,,3,1,2,3,,,,,13,8,,1,,,,1,
hsa-mir-93-3p,145,35,32,,,,,,,,,,10,,,,,42,26,,,,,,,,
hsa-mir-381-3p,63,,,,,,1,,,,35,5,,,,2,,7,,3,1,9,,,,,
hsa-mir-25-3p,6,,,,,,,,,,,,,,,,,,,,,6,,,,,
hsa-mir-193b-3p,129,21,29,2,,1,6,,,2,,,4,,1,,,19,39,,3,,2,,,,
hsa-mir-124-5p,20,,,,,,,,,,16,,,,,,,,,4,,,,,,,
hsa-mir-192-5p,101,10,13,,,3,,,,4,,,3,,,,,27,28,13,,,,,,,
hsa-mir-495-3p,114,,,,,,,,,,75,,,,,,,27,,9,,3,,,,,
hsa-mir-935,59,,2,,,,,,,,44,,,,,,,6,1,2,,2,1,,1,,
hsa-mir-2355-5p,17,7,,,,,,,,,,,,,,,,5,,,,5,,,,,
hsa-mir-339-5p,45,13,,,3,,,,,,,,2,,,,,10,17,,,,,,,,
hsa-mir-7-5p,349,25,5,,3,,13,,,,190,1,5,,5,,2,,34,55,5,6,,,,,
hsa-let-7e-3p,5,,,,,,,,,,4,1,,,,,,,,,,,,,,,
hsa-mir-519a-3p,15,,,,,,,,,,,,,,,,,,,6,,9,,,,,
hsa-mir-136-5p,95,5,2,,1,,,,,,62,1,,,,,,12,3,,1,8,,,,,
hsa-mir-592,44,5,2,1,,,,,,,27,,1,,1,,,,1,3,,3,,,,,
hsa-let-7b-3p,6,,1,,,,,,,,,,,,,,,,,,,5,,,,,
hsa-mir-454-3p,40,,18,,,,6,,,,,,,,,,,16,,,,,,,,,
hsa-mir-1251-5p,3,,,,,,,,,,3,,,,,,,,,,,,,,,,
hsa-mir-127-5p,142,8,14,1,,,,1,,,80,2,1,,,,,14,13,1,5,2,,,,,
hsa-mir-141-5p,69,10,,,,,2,,,,2,,,,,,,,37,18,,,,,,,
hsa-let-7b-5p,132,,,,,,,,,,,,,,,,,,,,,132,,,,,
hsa-mir-629-5p,18,,,,,,,,,,,,,,,,,6,,11,,,1,,,,
hsa-mir-130b-3p,114,20,14,1,,,,,,,,2,,,,,,15,40,13,,7,2,,,,
hsa-mir-338-3p,108,10,10,,,,8,,,,29,2,3,3,,,3,15,6,15,4,,,,,,
hsa-mir-185-5p,149,,,,,,,,,,123,,,,,,,25,,,,,,,1,,
hsa-mir-205-3p,6,,,,,,,,,,,,,5,,,,,,1,,,,,,,
hsa-mir-17-5p,217,48,13,,,2,,,,,,1,,5,,,,55,74,,,19,,,,,
hsa-mir-1179,28,,,,,,,,,,20,,,,4,,,,,4,,,,,,,
hsa-mir-363-3p,31,8,4,,,,5,,,,,1,2,1,,,,4,3,2,1,,,,,,
hsa-mir-520d-3p,17,,,,,,,,,,,,,,,,,,,9,,8,,,,,
hsa-mir-30a-3p,80,4,5,,,,6,,,,,,2,,,,,8,30,,,24,1,,,,
hsa-mir-520a-3p,16,,,,,,,,,,,,,,,,,,,9,,7,,,,,
hsa-mir-191-5p,20,8,4,,,,,,,,,,,,,,,2,6,,,,,,,,
hsa-mir-24-3p,127,,,,,,,,,,127,,,,,,,,,,,,,,,,
hsa-mir-326,97,6,8,2,,,,,,,56,,2,,,,,7,16,,,,,,,,
hsa-mir-34a-5p,109,,,,,,,,,,20,,,,,,,86,,,,,1,,1,,1
hsa-mir-299-3p,39,,,,,,,,,,30,,,,,,,,,3,,6,,,,,
hsa-let-7g-3p,105,18,27,,2,,,,,,38,,2,,,,3,,15,,,,,,,,
hsa-mir-197-3p,64,,13,,,,,,,,29,,,,,,,21,,,,,,,,,1
hsa-mir-329-3p,57,,,,,,,,,,54,,,,,,,,,3,,,,,,,
hsa-mir-409-5p,1,,,,,,,,,,1,,,,,,,,,,,,,,,,
hsa-mir-15b-5p,30,,,,,,,,,,,,,,,,,19,,,,11,,,,,
hsa-mir-376c-3p,44,1,2,,,,,2,,,22,,,,,,,8,2,5,,2,,,,,
hsa-mir-181d-5p,40,5,6,,1,,,,,,,1,,,,,,5,,11,,9,2,,,,
hsa-mir-377-3p,138,8,,,,,1,,,,110,4,,,,,,,10,3,,2,,,,,
hsa-mir-548v,21,1,2,,,,,,,,2,,,,,,,,10,2,3,1,,,,,
hsa-mir-194-5p,65,12,,,,3,,,,1,,,,,,,,9,37,3,,,,,,,
hsa-mir-92a-3p,20,,,,,,,,,,,,,,,,,20,,,,,,,,,
hsa-mir-9-3p,45,1,2,1,,,,,,,,,,,,,1,18,6,16,,,,,,,
hsa-mir-345-5p,58,3,21,,,,1,,,,7,,,,,,,5,14,5,1,,1,,,,
hsa-mir-675-3p,24,1,3,,,,,,,,6,2,,,1,,,6,3,,2,,,,,,
hsa-mir-218-5p,244,10,,1,,,5,,,1,146,2,,,,1,,70,8,,,,,,,,
hsa-mir-487a-3p,13,,,,,,,,,,13,,,,,,,,,,,,,,,,
hsa-mir-3943,14,,,,,,,,,,14,,,,,,,,,,,,,,,,
hsa-mir-411-5p,21,,,,,,3,,,,11,,,,,,,3,,,1,3,,,,,
hsa-mir-200c-5p,1,,,,,,,,,,,,,,,,,,,1,,,,,,,
hsa-mir-143-5p,27,,4,1,,,,,,,13,,,,,,,4,5,,,,,,,,
hsa-mir-15a-3p,1,,,,,,,,,,,,,,,,,,,,,1,,,,,
hsa-mir-939-5p,28,8,3,,,,,,,,5,,,,,,,,11,,,,1,,,,
hsa-mir-224-5p,55,14,7,,6,1,,,,,5,1,1,,1,,,3,9,6,,,,,1,,
hsa-mir-874-3p,121,13,,,,,,,,1,55,2,,,,,,27,18,,2,,3,,,,
hsa-mir-124-3p,442,,,,,,,,,,396,,,,,,,,,46,,,,,,,
hsa-mir-19b-1-5p,111,40,,,,,,,,,,,,,,,,31,40,,,,,,,,
hsa-mir-296-5p,28,1,10,,1,,,,,,6,,,1,,1,,3,2,2,,,1,,,,
hsa-mir-302a-5p,5,,,,,,,,,,,,,,,,,,,5,,,,,,,
hsa-mir-130a-3p,211,37,28,,,,7,,,,,1,7,,,,,71,18,,,42,,,,,
hsa-mir-30c-2-3p,33,5,5,,,,,,,,,1,4,1,,,,6,1,,,9,1,,,,
hsa-mir-30c-1-3p,13,11,,,,,,,,1,,1,,,,,,,,,,,,,,,
hsa-let-7a-2-3p,30,,1,,,,,,,,7,,1,,,,,10,2,7,,2,,,,,
hsa-mir-139-3p,32,,1,,,,,,,,27,,,,1,1,,1,,1,,,,,,,
hsa-mir-497-3p,30,,,,,,,,,,6,,,,,,1,2,,5,,16,,,,,
hsa-mir-125b-5p,172,28,,1,1,,,,,,,,,,,,,61,14,21,,46,,,,,
hsa-mir-491-3p,46,7,1,,2,,,,,,26,,,,,,,,,10,,,,,,,
hsa-mir-3127-5p,17,3,8,,,,,,,,,,,,,,,3,3,,,,,,,,
hsa-mir-193b-5p,42,,6,,,,,,,,,,,,1,,,12,5,17,1,,,,,,
hsa-mir-655-3p,27,1,2,,,,,,,,22,,,1,,,,,,1,,,,,,,
hsa-mir-26b-5p,99,,,,,,,,,,,,,,,,,,99,,,,,,,,
hsa-mir-127-3p,5,1,,,,,,,,,,,,,,,,3,,,,1,,,,,
hsa-mir-133a-3p,150,9,4,,,,2,,,,116,,,,,,,9,6,4,,,,,,,
hsa-mir-379-5p,28,,,,,,,1,,,22,1,,,,,,2,,,,2,,,,,
hsa-mir-616-3p,10,2,,,,,,,,,2,,,,,,,1,5,,,,,,,,
hsa-mir-204-5p,112,14,3,,,,3,,,1,33,4,4,1,4,,2,6,2,19,11,5,,,,,
hsa-mir-21-5p,88,,,,,,,,,,18,,,,,,,64,,,6,,,,,,
hsa-mir-432-5p,56,1,,,,,3,,,,40,2,,,,,,3,,2,4,1,,,,,
hsa-mir-376b-3p,16,,,,,,1,,,,7,2,,,,,,,,2,,4,,,,,
hsa-mir-149-5p,138,14,30,1,,,2,,,,51,1,,,,,3,15,18,,,3,,,,,
hsa-mir-185-3p,105,9,2,,,,1,,,1,81,,,,,,,5,6,,,,,,,,
hsa-mir-454-5p,1,,,,,,,,,,,,,,,,,,1,,,,,,,,
hsa-mir-377-5p,92,4,3,,,,3,,,,60,3,,,,,,,5,6,,7,,,,1,
hsa-mir-214-5p,8,2,,,,,,,,,1,1,,,,,,3,,1,,,,,,,
hsa-mir-34b-3p,19,6,,,,,,,,,10,,1,,,,,,,2,,,,,,,
hsa-mir-3615,7,,1,,,,,,,,1,,,,,,,3,2,,,,,,,,
hsa-mir-30c-5p,8,,,,,,8,,,,,,,,,,,,,,,,,,,,
hsa-mir-577,57,,,1,2,,,,,,19,,,1,1,,,,25,5,1,2,,,,,
hsa-mir-105-5p,35,1,,,,,,,,,28,,,,,,,1,,5,,,,,,,
hsa-mir-187-3p,9,,,,,,1,,,,7,,,,,,,,,,,1,,,,,
hsa-mir-24-1-5p,7,,1,,,,,,,,4,,,,,,,,1,,,,1,,,,
hsa-mir-769-3p,52,2,6,,1,,,,,,30,,2,,,,,5,6,,,,,,,,
hsa-mir-532-3p,99,,30,,,,,,,,,,2,,,,,37,30,,,,,,,,
hsa-mir-195-3p,21,,,,,,,,,,,2,,,,,,,,2,2,15,,,,,
hsa-mir-455-5p,25,7,6,,,,,,,,1,,,,,,,3,8,,,,,,,,
hsa-let-7i-3p,6,1,2,,,,,,,,1,,,,,,,,2,,,,,,,,
hsa-mir-433-3p,22,,,,,,,,,,17,4,,,,,,,,1,,,,,,,
hsa-mir-16-2-3p,92,,6,,3,,,,,1,9,,,,,,,6,61,,,6,,,,,
hsa-mir-2277-5p,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
hsa-mir-196a-5p,43,2,5,,6,3,1,,,,,,1,,,,,1,17,4,,3,,,,,
hsa-mir-144-5p,7,,,,,,,,,2,2,,,,,,,1,1,1,,,,,,,
hsa-mir-582-3p,36,3,1,,,,,,,1,12,,1,,,,,2,1,13,,2,,,,,
hsa-mir-20b-3p,14,5,,,,,,,,1,,,,,,,,,,6,,1,1,,,,
hsa-mir-497-5p,69,14,,,,,,,,2,,2,,,,1,,15,,15,,18,2,,,,
hsa-mir-369-3p,93,2,,,,,1,,,,82,2,,,,,,3,,2,,1,,,,,
hsa-mir-491-5p,87,,12,,,,,,,1,38,,,,,,,34,,2,,,,,,,
hsa-mir-616-5p,55,5,8,,,,1,,,,5,,6,,,,,11,5,10,3,,,,1,,
hsa-mir-106b-5p,32,,,,,,,,,,,,,,,,,32,,,,,,,,,
hsa-mir-200c-3p,126,38,,,,,,,,,8,2,,,,,,13,41,21,,3,,,,,
hsa-mir-374a-5p,11,,,,,,,,,,,,,,,,,11,,,,,,,,,
hsa-mir-526b-3p,12,,,,,,,,,,,,,,,,,,,12,,,,,,,
hsa-mir-15a-5p,22,,,,,,,,,,,,,,,,,,,,,22,,,,,
hsa-mir-1305,5,,,,,,,,,,,,,,,,,,,5,,,,,,,
hsa-mir-302b-3p,14,,,,,,,,,,,,,,,,,,,14,,,,,,,
hsa-mir-527,3,,,,,,,,,,,,,,,,,,,1,,2,,,,,
hsa-mir-182-3p,1,,,,,,,,,,,,,,,,,,,1,,,,,,,
hsa-mir-23b-5p,60,,,1,,,,,,,31,,,,,,,,28,,,,,,,,
hsa-mir-425-5p,86,8,13,,,,5,,,,19,,,,,,,14,27,,,,,,,,
hsa-mir-340-5p,30,,,,,,,,,,,,4,,,,,26,,,,,,,,,
hsa-mir-126-3p,11,3,,,,,,,,,,,,,,,,1,7,,,,,,,,
hsa-mir-138-5p,57,3,,,,,4,,,3,37,,,,,,,,,1,8,1,,,,,
hsa-mir-153-3p,25,,6,,,,,,,,,,,,5,,,,13,,1,,,,,,
hsa-mir-24-2-5p,10,,,,,,1,,,,3,,,,,,,6,,,,,,,,,
hsa-mir-550a-3p,31,5,3,,,,,,,,6,,,,,,,9,8,,,,,,,,
hsa-mir-330-3p,202,16,,,,,,,,,160,,,,,1,,25,,,,,,,,,
hsa-mir-452-5p,24,6,2,,,,,,1,1,2,,,,,,,1,6,4,,1,,,,,
hsa-mir-192-3p,28,,1,,,,,,,3,,,,,2,,,7,9,5,,,1,,,,
hsa-mir-455-3p,73,10,6,,3,,,,,,15,,3,,,,1,14,13,8,,,,,,,
hsa-mir-485-3p,40,,4,,,,,,,,25,,,,,,,4,,3,,4,,,,,
hsa-mir-26b-3p,70,,22,,,,,,,,,,5,,,,,,43,,,,,,,,
hsa-mir-502-3p,7,,,,,,,,,,,,,,,,,7,,,,,,,,,
hsa-mir-27a-3p,75,,,,,,,,,,75,,,,,,,,,,,,,,,,
hsa-mir-323a-5p,8,,,,,,,,,,8,,,,,,,,,,,,,,,,
hsa-mir-520g-3p,12,,,,,,,,,,,,,,,,,,,2,,10,,,,,
hsa-mir-627-5p,33,5,,,,,,,,1,3,,,,,,,7,15,,,1,,,,1,
hsa-mir-542-3p,40,,,,,,,,,,,,,,,,,33,,3,4,,,,,,
hsa-mir-26a-5p,18,,,,,,,,,,,,,,,,,18,,,,,,,,,
hsa-mir-628-3p,17,1,,,,,,,,,9,,,1,,,,3,1,2,,,,,,,
hsa-mir-1277-3p,1,,,,,,,,,,,,,,,,,1,,,,,,,,,
hsa-mir-302a-3p,11,,,,,,,,,,,,,,,,,,,11,,,,,,,
hsa-mir-184,24,2,3,,,,1,,,,13,1,,,,,,,,3,,1,,,,,
hsa-mir-135b-3p,5,,,,,,,,,,,,,,,,,,5,,,,,,,,
hsa-mir-302d-5p,6,,,,,,,,,,,,,,,,,,,6,,,,,,,
hsa-mir-18a-5p,175,33,8,2,7,,5,,,,40,1,4,1,,,,24,41,,,8,1,,,,
hsa-mir-1307-3p,17,10,,,,,,,,,,,,,,,,2,5,,,,,,,,
hsa-mir-2355-3p,18,4,1,,,,1,,,,,1,,,,,,1,7,,,3,,,,,
hsa-mir-149-3p,32,,,,,,,,,,28,,,,,,,,,3,,1,,,,,
hsa-mir-27a-5p,50,2,7,,,,,,,,3,1,,,,,,11,26,,,,,,,,
hsa-mir-3651,3,1,1,,,,,,,,,,,,,,,,,1,,,,,,,
hsa-mir-15b-3p,11,,1,,,,,,,,1,,,,,,,5,1,,,3,,,,,
hsa-mir-1296-5p,42,,3,1,,,,,,,32,,,,,,,3,1,,,2,,,,,
hsa-mir-654-3p,73,1,3,,,,2,,,,54,1,,,,,,1,3,4,1,3,,,,,
hsa-mir-376a-5p,9,,1,,1,,,,,,3,,,,,,,,2,1,,1,,,,,
hsa-mir-125a-3p,44,,,,,,,,,,12,1,,,,,,17,14,,,,,,,,
hsa-mir-323a-3p,109,1,2,,,,,,,,85,2,,,,,,7,6,4,,2,,,,,
hsa-mir-33b-5p,131,5,7,1,3,,3,,,1,33,,2,,2,1,14,30,26,,1,1,,1,,,
hsa-mir-92a-1-5p,128,30,12,,2,1,1,,,,,,,,,,,33,29,14,,4,2,,,,
hsa-mir-1306-3p,3,2,,,,,,,,,,,,,,,,1,,,,,,,,,
hsa-mir-122-5p,27,,,,,,,,1,,,,,,,,,,,26,,,,,,,
hsa-mir-431-3p,14,1,,,,,,,,,8,,,,,,,5,,,,,,,,,
hsa-mir-487b-3p,3,,,,,,,,,,3,,,,,,,,,,,,,,,,
hsa-mir-302b-5p,12,,,,,,,,,,,,,,,,,,,12,,,,,,,
hsa-mir-132-3p,164,,,,,,,,,,120,,,,,1,,43,,,,,,,,,
hsa-mir-1291,4,,,,,,,,,,,,,,,,,,,3,,1,,,,,
hsa-mir-101-3p,73,,,,,,,,,,73,,,,,,,,,,,,,,,,
hsa-mir-34c-3p,13,1,1,,,,,,,,2,,,,,,,5,,1,2,,1,,,,
hsa-mir-33b-3p,7,,,,,,,,,,,,,,,,,,,6,,1,,,,,
hsa-mir-520c-3p,13,,,,,,,,,,,,,,,,,,,6,,7,,,,,
hsa-mir-519c-3p,15,,,,,,,,,,,,,,,,,,,6,,9,,,,,
hsa-mir-33a-5p,207,10,36,1,2,,3,,,1,83,,4,1,2,,3,7,35,,5,8,5,,,1,
hsa-mir-421,79,5,2,,,,,,,2,26,,1,,,,,12,29,,,,2,,,,
hsa-mir-133b,22,,,,,,3,,,,,,,,,,1,,18,,,,,,,,
hsa-mir-1-3p,166,4,1,,,,4,,1,,113,1,,1,,,,12,12,15,1,1,,,,,
hsa-mir-23b-3p,122,,,,,,,,,,110,,,,,,,12,,,,,,,,,
hsa-mir-337-3p,18,2,,,,,,,,,7,1,,,,,,3,3,1,,1,,,,,
hsa-mir-744-5p,23,16,,,,,,,,,,,,,,,,7,,,,,,,,,
hsa-mir-671-5p,60,11,3,,,,,,,,14,,1,,,,,8,23,,,,,,,,
hsa-mir-362-5p,37,5,6,,2,,,,,1,,,3,,,,,12,8,,,,,,,,
hsa-mir-210-3p,27,2,6,,2,,,,,,3,,,,,,,,12,,2,,,,,,
hsa-mir-940,285,13,18,,1,,,,,1,154,,1,4,,,,24,40,16,6,7,,,,,
hsa-mir-3150b-3p,7,4,1,,,,,,,,,,,,,,,,2,,,,,,,,
hsa-mir-3157-5p,2,,,,,,,,,,,,,,,,,,,,,2,,,,,
hsa-mir-205-5p,53,15,8,,,,,,,,,,,,1,,1,,,19,3,6,,,,,
hsa-mir-29b-3p,270,38,,,,,6,,,,158,,6,,,,,36,,26,,,,,,,
hsa-mir-1229-3p,67,1,,,,,,,,1,65,,,,,,,,,,,,,,,,
hsa-mir-150-5p,104,2,4,,,,,,1,,54,,1,,,1,,15,13,4,2,7,,,,,
hsa-mir-129-5p,171,,8,,,,2,,,,123,,1,1,3,,,20,10,1,,2,,,,,
hsa-mir-183-5p,135,23,6,,,1,4,,,1,2,1,3,2,,,,32,25,30,1,4,,,,,
hsa-mir-589-3p,78,11,16,,2,2,4,,,1,,1,4,,,,,21,12,,2,,2,,,,
hsa-mir-323b-3p,7,1,2,,,,,,,,3,,,,,,,,1,,,,,,,,
hsa-mir-576-5p,38,,21,,,,,,,,,,,,,,,13,3,,,1,,,,,
hsa-mir-30a-5p,85,,14,,,,4,,,,,1,6,1,,,,,29,,,29,1,,,,
hsa-mir-299-5p,146,2,5,,,,,,,,99,4,,,,,,16,5,2,,13,,,,,
hsa-mir-92b-3p,64,,10,,,,,,,,,4,,,,,,,,26,,23,1,,,,
