Target,count_hgnc_symbol_target,BLCATargetCount,BRCATargetCount,CESCTargetCount,COADTargetCount,ESCATargetCount,HNSCTargetCount,ACCTargetCount,KIRCTargetCount,KIRPTargetCount,LGGTargetCount,LIHCTargetCount,LUADTargetCount,LUSCTargetCount,PAADTargetCount,PCPGTargetCount,PRADTargetCount,SARCTargetCount,STADTargetCount,TGCTTargetCount,THCATargetCount,THYMTargetCount,UCECTargetCount,DLBCTargetCount,OVTargetCount,SKCMTargetCount,UVMTargetCount
MSN,17,,,,,,,,,,1,,,,,,,11,,5,,,,,,,
ST3GAL2,10,,,,,,,,,,9,,,,,,,,1,,,,,,,,
CENPO,2,,,,,,,,,,1,,,,,,,,,,,1,,,,,
FAM91A1,8,,,,,,,,,,3,,,,,,,,,4,1,,,,,,
RPL27A,3,,,,,,,,,,,,,,,,,1,,2,,,,,,,
JADE2,4,,,,,,,,,,,,,,,,,4,,,,,,,,,
MAN1A2,3,,,,,,,,,,,,,,,,,,3,,,,,,,,
EIF5A2,2,1,,,,,,,,,,,,,,,,,,,1,,,,,,
CPEB4,1,,,,1,,,,,,,,,,,,,,,,,,,,,,
CD69,2,,,,,,,,,,2,,,,,,,,,,,,,,,,
LRBA,4,,,,,,,,,,4,,,,,,,,,,,,,,,,
SQLE,1,,,,,,,,,,1,,,,,,,,,,,,,,,,
PRKCE,6,,,,,,,,,,,,,,,,,5,1,,,,,,,,
PTPN4,4,,,,,,,,,,,,,,,,,4,,,,,,,,,
SLX4,1,,,,,,,,,,,,,,,,,,,,,1,,,,,
SEC14L1,1,,,,,,,,,,1,,,,,,,,,,,,,,,,
SKP2,3,,,,,,,,,,1,,,,,1,,,,,,1,,,,,
TACC3,4,,,,,,,,,,4,,,,,,,,,,,,,,,,
KIF2C,7,,,,,,,,,,7,,,,,,,,,,,,,,,,
UBE2C,15,,,,,,,,,,14,,,,,,,1,,,,,,,,,
CRYZ,1,,,,,,,,,,,,,,,,,1,,,,,,,,,
PCSK2,1,,,,,,,,,,,,,,,,,,1,,,,,,,,
RIN2,1,,,,,,,,,,,,,,,,,,1,,,,,,,,
SP3,34,1,4,,,,,,,,7,,,,,,,3,10,1,,8,,,,,
CLIC5,4,2,2,,,,,,,,,,,,,,,,,,,,,,,,
LDHA,6,,,,,,,,,2,,,1,,,,,3,,,,,,,,,
USP8,3,,,,,,,,,,3,,,,,,,,,,,,,,,,
RBM8A,1,,,,,,,,,,1,,,,,,,,,,,,,,,,
DOCK10,2,,,,,,,,,,,,,,,,,1,,1,,,,,,,
EHD1,1,,,,,,,,,,,,,,,,,,1,,,,,,,,
AXIN2,3,1,,,,,,,,,2,,,,,,,,,,,,,,,,
TMEM131,4,2,1,,,,,,,,1,,,,,,,,,,,,,,,,
LTA4H,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
MYBPC1,2,,1,,,,,,,,,,,,,,,,,1,,,,,,,
NFIC,3,,2,,,,,,,,,,,,,,,,1,,,,,,,,
MRPL34,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
MAP3K14,3,,,,1,,,,,,,1,,,,,,1,,,,,,,,,
TPM4,1,,,,,,1,,,,,,,,,,,,,,,,,,,,
HYOU1,8,,,,,,,,,,,,,,,,,,,8,,,,,,,
FOXO1,9,2,,,,,,,,,,,,,,,,4,,3,,,,,,,
HNF4A,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
PAWR,4,1,1,,,,,,,,,,,,,,,,,,2,,,,,,
TOP1,5,3,,,,,,,,,,,,,,,,1,,,,1,,,,,
RPS15A,2,,1,,,,,,,,,,,,,,,,1,,,,,,,,
CSNK1D,7,,,,,,,,,,7,,,,,,,,,,,,,,,,
IL2RA,13,1,,,,,,,,,10,,1,,,,,,1,,,,,,,,
EFR3A,83,2,1,,,,,,,,1,,,,,,,5,71,,,3,,,,,
APOL2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
PPM1D,1,,,,,,1,,,,,,,,,,,,,,,,,,,,
NRP2,11,,,,,,,,,,11,,,,,,,,,,,,,,,,
KCNMA1,6,,,,,,,,,,,,,,,,,,,1,,5,,,,,
ZNF385D,1,,,,,,,,,,,,,,,,,,,1,,,,,,,
FOXM1,22,,,,,,,,,1,19,,,,,,,1,,,,1,,,,,
ARSB,3,,,,,,,,,,3,,,,,,,,,,,,,,,,
CD99,1,,,,,,,,,,1,,,,,,,,,,,,,,,,
GALNT3,1,,,,,,,,,,,,,,,,,,1,,,,,,,,
SMARCA4,7,,,,,,,,,,,,,,,,,,,7,,,,,,,
SLC19A1,2,,,,,,,,,,,,,,,,,,,,,2,,,,,
TEX2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
GAB1,2,,1,,,,,,,,,,,,,,,1,,,,,,,,,
UGDH,3,,,,,,1,,,,2,,,,,,,,,,,,,,,,
PRPF40A,6,,,,,,1,,,,1,1,,,,,,3,,,,,,,,,
CD40,2,,,,,,,,,2,,,,,,,,,,,,,,,,,
ORC1,2,,,,,,,,,,1,,1,,,,,,,,,,,,,,
CD2AP,7,,,,,,,,,,5,,,,1,,,,,,1,,,,,,
POLA2,2,,,,,,,,,,1,,,,,,,1,,,,,,,,,
PMM2,1,,,,,,,,,,,1,,,,,,,,,,,,,,,
SLC16A6,1,,,,,,,,,,,,,,,,,,1,,,,,,,,
AMPD2,1,,,,,,,,,,,,,,,,,,,1,,,,,,,
PDE4B,7,1,,,,,,,,,1,,,,,,,2,3,,,,,,,,
SWAP70,2,1,,,,,,,,,,,,,,,,1,,,,,,,,,
CERS2,5,1,3,,,,1,,,,,,,,,,,,,,,,,,,,
SLC4A2,4,,1,,,,,,,,2,,,,,,,1,,,,,,,,,
CD19,1,,,,,,,,,,1,,,,,,,,,,,,,,,,
GBE1,3,,,,,,,,,,,2,,,,,,,1,,,,,,,,
CEP85L,2,,,,,,,,,,,,2,,,,,,,,,,,,,,
PARVA,3,,,,,,,,,,,,,,,,,3,,,,,,,,,
SLC25A5,1,,,,,,,,,,,,,,,,,,,1,,,,,,,
PRKCA,1,,,,,,,,,,,,,,,,,,,,,1,,,,,
CREB3L2,5,2,,,,,,,,,,,1,,,,,,2,,,,,,,,
DHX15,6,,1,,,,,,,,5,,,,,,,,,,,,,,,,
RPS16,1,,,,,,,,,,1,,,,,,,,,,,,,,,,
ARHGAP21,1,,,,,,,,,,1,,,,,,,,,,,,,,,,
UBTF,2,,,,,,,,,,,,,,,,,1,,1,,,,,,,
ZMAT3,4,,,,,,,,,,,,,,,,,3,1,,,,,,,,
MNDA,1,,,,,,,,,,,,,,,,,,1,,,,,,,,
COQ8B,1,,,,,,,,,,,,,,,,,,,1,,,,,,,
MICAL2,10,,2,,,,,2,,,,,,,1,,,,1,4,,,,,,,
DOCK1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
QSOX1,3,2,,,,,,,,,,,,,,,,,,1,,,,,,,
RASGRP3,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,
GTF3C1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
AHNAK,80,,2,,2,,,,,,3,,,,,,,73,,,,,,,,,
CHD2,14,,,,,,1,,,,,,,,,,,1,11,,,1,,,,,
LCP1,2,,,,,,1,,,,,,,,,,,,1,,,,,,,,
SLC4A7,25,,,,,,,,,,2,,,,,,,,23,,,,,,,,
MYO18A,5,,,,,,,,,,1,,,,,,,,,,,4,,,,,
KDM2B,2,,,,,,,,,,,,,,,1,,,,,,1,,,,,
CUX1,13,7,,,,,,,,,5,,,,,,,1,,,,,,,,,
ETS1,59,12,7,,,,,,,,23,,3,,,,,,4,7,2,1,,,,,
MAT2A,25,1,,,,,,,,,1,,,,,,,16,1,,,6,,,,,
MCM6,22,1,,,,,,,,,13,,,,,,,3,,5,,,,,,,
SOX4,12,1,,,,,,,,,,,,,,,,,,,,11,,,,,
ZNF608,8,2,,1,,,,,,,2,,,,,,,1,2,,,,,,,,
HELZ,20,,,,,,1,,,,9,1,1,,,,,1,5,,,1,1,,,,
NFKBIA,2,,1,,,,,,,,,,,,,,,1,,,,,,,,,
PTPRK,2,,2,,,,,,,,,,,,,,,,,,,,,,,,
KRIT1,5,,,,,,,,,,2,,,,,,,2,1,,,,,,,,
ZFAND6,2,,,,,,,,,,2,,,,,,,,,,,,,,,,
FBXL19,4,,,,,,,,,,1,,,,,,,,,3,,,,,,,
IL6,9,6,,,1,,,,,,,,,,,,,2,,,,,,,,,
NPM1,11,3,1,,,,,,,,,,,,,,,2,,3,,2,,,,,
MBNL2,4,1,,,,,,,,,,,,,,,,,1,,2,,,,,,
CSGALNACT1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
GRHL2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
RUNX2,6,,4,,,,,,,,,,,,,,,,,2,,,,,,,
PRKDC,32,,,,,,,,,,28,,,,,,,3,,,,1,,,,,
ZNF451,1,,,,,,,,,,1,,,,,,,,,,,,,,,,
ZNF655,3,,,,,,,,,,1,,,,,,,1,1,,,,,,,,
TTYH3,1,,,,,,,,,,1,,,,,,,,,,,,,,,,
SYNE1,1,,,,,,,,,,,,1,,,,,,,,,,,,,,
ACO2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
ATM,15,5,2,,,,,,,,3,,,,,,,2,2,,,1,,,,,
ICAM1,32,1,,,,,,,,,21,,,,,,,1,,8,,,1,,,,
LAD1,2,1,,,,,,,,,,1,,,,,,,,,,,,,,,
KAT2B,3,2,,,,,,,,,,,,,,,,,,,,1,,,,,
USP7,4,,,,,,,,,,4,,,,,,,,,,,,,,,,
FKBP5,7,,,,,,,,,,,,1,,,,1,2,3,,,,,,,,
NME4,1,,,,,,,,,,,,,,,,,1,,,,,,,,,
SDK2,1,,,,,,,,,,,,,,,,,1,,,,,,,,,
ZCCHC2,6,,,,,,,,,,,,,,,,,2,3,,1,,,,,,
KBTBD8,8,5,,,,,1,,,,,,1,,,,,,,,,1,,,,,
HIPK1,56,2,,,,,,,,,2,1,,,,,,43,6,,1,1,,,,,
RPL3,4,,1,,,,,,,,,1,,,,,,2,,,,,,,,,
EIF2AK3,4,,2,,,,,,,,,,,,,,,,,,,2,,,,,
SETD1B,13,,3,,,,,,,,4,,,,,,,,6,,,,,,,,
FGF2,15,,,,1,,,,,,11,,2,,,,,1,,,,,,,,,
GINS1,1,,,,,,,,,,1,,,,,,,,,,,,,,,,
BABAM1,2,,,,,,,,,,1,,,,,,,,,,1,,,,,,
ANO6,18,,,,,,,,,,2,,,,,,,15,,1,,,,,,,
PNRC1,9,,,,,,,,,,,,,,,,,9,,,,,,,,,
VOPP1,1,,,,,,,,,,,,,,,,,,,1,,,,,,,
CDKN1A,165,38,2,,,,2,,,,67,6,,7,,,1,13,24,2,,2,1,,,,
CUEDC1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
PLAT,2,,1,,,,1,,,,,,,,,,,,,,,,,,,,
DDR1,1,,,,,,,,,,1,,,,,,,,,,,,,,,,
COQ2,1,,,,,,,,,,,,,,,,,,1,,,,,,,,
JADE1,27,,,,,,,,,,,,,,,,,,25,1,1,,,,,,
IPCEF1,22,,,,,,,,,,1,,,,,,,18,3,,,,,,,,
MMP13,4,1,2,,,,1,,,,,,,,,,,,,,,,,,,,
FOXJ3,4,1,1,,,,,,,,,,,,,,,2,,,,,,,,,
AFF1,16,,2,,,,,,,,7,,1,,,,,,4,2,,,,,,,
PPFIBP2,4,,1,,,,,,,,3,,,,,,,,,,,,,,,,
CASP3,15,,,,,,,,,,9,,,,,,,,,1,,5,,,,,
LIMD1,3,,,,,,,,,,3,,,,,,,,,,,,,,,,
ERBB2,10,,,,,,,,,,,,,,,,,10,,,,,,,,,
PARD3,2,,,,,,,,,,,,,,,,,,2,,,,,,,,
SAMD9,1,,,,,,,,,,,,,,,,,,,1,,,,,,,
SYK,1,,,,,,,,,,,,,,,,,,,,,1,,,,,
EGFR,23,4,1,,,,,,,,3,,,,,,,3,10,2,,,,,,,
PLXNC1,11,,11,,,,,,,,,,,,,,,,,,,,,,,,
RRM2B,24,,2,,,,1,,,,,,,,,,,19,1,1,,,,,,,
CAMK2D,2,,,,,,1,,,,,,,,,,,,,,,1,,,,,
ING1,1,,,,,,,,,,1,,,,,,,,,,,,,,,,
LIF,1,,,,,,,,,,1,,,,,,,,,,,,,,,,
PIAS1,4,,,,,,,,,,,,1,,,,,,3,,,,,,,,
FCHO1,1,,,,,,,,,,,,,,,,,1,,,,,,,,,
AZI2,1,,,,,,,,,,,,,,,,,,1,,,,,,,,
RPL18A,2,,,,,,,,,,,,,,,,,,,2,,,,,,,
ATF2,4,2,,,,,,,,,,,1,,,,,,,,,1,,,,,
EIF4B,6,5,,,,,,,,,,,,,,,,,1,,,,,,,,
NR5A2,7,6,,,,,,,,,1,,,,,,,,,,,,,,,,
H2AZ1,12,1,,,,,,,,,11,,,,,,,,,,,,,,,,
PTPRJ,4,1,1,,,,,,,,1,,1,,,,,,,,,,,,,,
ARAP2,8,5,,,,,,,,,1,,,,,,,,1,1,,,,,,,
ARL2,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
BCL2L1,3,,1,,,,,,,,,,,,,,,,,,,2,,,,,
PPP2R1A,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
IKZF3,2,,,,,,1,,,,,,,,,,,,,1,,,,,,,
CMTR1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,
RNH1,2,,,,,,,,,,,,,,,,,,2,,,,,,,,
PER3,1,,,,,,,,,,,,,,,,,,1,,,,,,,,
COL1A1,22,2,,,,,,,,,17,,,,,,,1,1,,,1,,,,,
PCYT1A,23,2,,,,,,,,,5,,,,,,,,15,,,1,,,,,
HIVEP3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
MAGI1,3,,1,,,,,,,,2,,,,,,,,,,,,,,,,
KLF8,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
CREB5,2,,,,,,,,,,1,,,,,,,,1,,,,,,,,
HNRNPA3,4,,,,,,,,,,1,,,,,,,3,,,,,,,,,
DAPK1,3,,,,,,,,,,,1,,,,,,,,2,,,,,,,
IRS2,8,,,,,,,,,,,,,,,,,1,6,,,,1,,,,
SH3BP4,1,,,,,,,,,,,,,,,,,,,1,,,,,,,
TLK1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,
LYN,11,4,,,,,,,,,,,,,,,,,,7,,,,,,,
SMAD4,52,2,,,,,,,,,1,,,,,,2,,46,,,1,,,,,
EIF3C,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
CCT6B,4,,2,,,,,,,,,,,,,,,,2,,,,,,,,
CDC25C,11,,,,,,2,,,,9,,,,,,,,,,,,,,,,
SNX8,1,,,,,,1,,,,,,,,,,,,,,,,,,,,
STIM2,3,,,,,,,,,,,,,,,,,3,,,,,,,,,
ARAP1,1,,,,,,,,,,,,,,,,,,1,,,,,,,,
OAS1,1,,,,,,,,,,,,,,,,,,,1,,,,,,,
CAST,28,6,1,,,,2,,,,,,,,,,,11,3,5,,,,,,,
TRIB1,3,1,1,,,,,,,,,,,,,,,,1,,,,,,,,
CD274,12,2,,,1,,,,,,,,,,,,,5,4,,,,,,,,
WDR36,3,1,,,,,,,,,1,,,,,,,,,1,,,,,,,
FOXN3,5,,3,,,,,,,,2,,,,,,,,,,,,,,,,
VEGFA,350,,1,,,,1,,,,334,2,1,,,,,2,1,,3,3,2,,,,
PDK4,1,,,,1,,,,,,,,,,,,,,,,,,,,,,
NAMPT,23,,,,,,2,,,,20,,,,,,,1,,,,,,,,,
TENT4A,1,,,,,,,,,,1,,,,,,,,,,,,,,,,
HLA-DRA,4,,,,,,,,,,,,,,,,,2,2,,,,,,,,
IFNG,1,,,,,,,,,,,,,,,,,,,,,1,,,,,
GALNT2,9,2,,,,,,,,,,,,,,,,,2,4,1,,,,,,
IGF1R,54,5,5,,,,1,,,,24,,,,,,3,12,2,1,1,,,,,,
RAB11A,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
MACF1,23,5,5,,2,,2,,,1,1,1,,,,,,4,,,,1,1,,,,
CDC42SE2,4,1,,,,,,,,,,,,,,,1,2,,,,,,,,,
RPS19,9,,2,,,,,,,,6,,,,,,,,1,,,,,,,,
ZMYND8,34,,1,,,,4,,,3,1,,,,,,,23,2,,,,,,,,
ZDHHC14,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
CDC42EP4,3,,,,,,,,,,3,,,,,,,,,,,,,,,,
CAPN2,5,,,,,,,,,,,,2,,,,1,2,,,,,,,,,
AHDC1,4,,,,,,,,,,,,,,,,,4,,,,,,,,,
PARG,1,,,,,,,,,,,,,,,,,,1,,,,,,,,
ATP11A,2,,,,,,,,,,,,,,,,,,2,,,,,,,,
BMP6,1,,,,,,,,,,,,,,,,,,,1,,,,,,,
MAP3K13,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
NREP,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
PREX1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,
SAP130,1,,,,,,1,,,,,,,,,,,,,,,,,,,,
BARD1,3,,,,,,,,,,3,,,,,,,,,,,,,,,,
SUGP2,2,,,,,,,,,,2,,,,,,,,,,,,,,,,
PML,2,,,,,,,,,,,,,,,,,1,,1,,,,,,,
MAPRE2,10,,,,,,,,,,,,,,,,,10,,,,,,,,,
