"entrezgene_id","hgnc_symbol","mirna1","mirna2","Lancaster_XY_Z","is_mrna_tf","mirna1Literature","mirna2Literature","mrnaLiterature","miRNA1_mRNA_DB","miRNA2_mRNA_DB","mi2","mi1","mrna","_c3","_c4","_c5","_c6","_c7","_c8","_c9","_c10","_c11","_c12","_c13","_c14","_c15","_c16","_c17","_c18","_c19","_c20","_c21","_c22","_c23","_c24","_c25","_c26","_c27","_c28","_c29","_c30","_c31","_c32","_c33","_c34","_c35","_c36","_c37","_c38","_c39","_c40","_c41","_c42","_c43","_c44","_c45","_c46","_c47","_c48","_c49","_c50","_c51","_c52","_c53","_c54","_c55","_c56","_c57","_c58","_c59","_c60","_c61","_c62","_c63","_c64","_c65","_c66","_c67","_c68","_c69","_c70","_c71","_c72"
1191,"CLU","hsa-mir-1228-5p","hsa-mir-20a-5p",0.002,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/15578711'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15578711'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19391138'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22185350'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/23208459'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/23208459'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26293319'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29970704'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31540420'>PubMedLink</a>","mirtarbase","tarbase","hsa-mir-20a-5p","hsa-mir-1228-5p",1191,23.030147614241,25.0105479066489,23.7840527826476,24.0803360385779,20.8623364120437,"24.4370061952869","24.2800752934327","24.4555507004981","23.2179692314562","25.1296220268065","24.0576631405168","21.7951010026792","22.5567777207967","22.2602791751135","24.022004365053","24.0901935828399","20.9074821705859","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
1718,"DHCR24","hsa-mir-129-2-3p","hsa-mir-204-5p",0.0085,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/28950890'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31002355'>PubMedLink</a>","tarbase","tarbase","hsa-mir-204-5p","hsa-mir-129-2-3p",1718,20.9153333211506,23.5407787589954,23.0083435913414,22.8500037833708,22.4950185081209,"22.96722666662","21.1370487070101","21.8101864159997","23.0165067053411","22.6875415238016","21.3028777170428","23.1177515198045","22.7450009269014","21.6488641677025","23.1104010111149","20.8478615269413","21.7549762765035","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
2182,"ACSL4","hsa-mir-130a-3p","hsa-mir-200b-3p",0.003,FALSE,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/26416421'>PubMedLink</a>",NA,"mirtarbase","mirtarbase","hsa-mir-200b-3p","hsa-mir-130a-3p",2182,17.9121243027643,18.3356475645928,17.2107953614634,18.9279368363541,18.2777728109489,"17.2565035299872","17.8106708557606","18.8193628214818","18.4957978731583","18.2977799999769","17.1884337913616","17.3610253039154","18.218445179432","17.196132884915","18.1438568554055","18.5926465798792","18.7468867266338","17.4922124061671","18.7688715892963","19.7315835707325","18.4596709724505","17.6287943926027","18.5710486517861","18.9717686390252","18.433208984619","18.3178883029155","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
2200,"FBN1","hsa-mir-183-3p","hsa-mir-98-5p",0.008,FALSE,NA,NA,NA,"tarbase","tarbase","hsa-mir-98-5p","hsa-mir-183-3p",2200,16.0543578850299,13.9671645927812,13.0411234583348,15.5456854471429,17.5538605339677,"17.7341083412864","16.4195472802387","15.3927913772741","16.318619275585","15.4010424218067","16.0174838210623","17.8808877739514","16.7633637747409","17.5858523847","17.5379518626874","17.974824612799","15.2887092457471","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
2200,"FBN1","hsa-mir-96-5p","hsa-mir-10b-3p",0.0025,FALSE,NA,NA,NA,"tarbase","tarbase","hsa-mir-10b-3p","hsa-mir-96-5p",2200,16.0543578850299,15.1044360125538,17.5538605339677,16.2448672192608,16.4195472802387,"16.1542934559378","16.0174838210623","18.6924431905281","16.820699890665","15.99272174706","18.4350901661051","17.7453577733961","15.8304055560112","16.4910108046272","18.6634045643383","17.51345838352","17.6984848494716","15.8725135708829","18.4768263638246","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
2200,"FBN1","hsa-mir-96-5p","hsa-mir-20a-5p",0.003,FALSE,NA,NA,NA,"tarbase","tarbase","hsa-mir-20a-5p","hsa-mir-96-5p",2200,16.0543578850299,13.4930608645559,16.2448672192608,13.7233588802959,16.6391667809987,"16.4195472802387","16.8426877187839","12.5065796447425","16.1542934559378","13.6038732707101","15.713621853468","13.6480017521303","16.0174838210623","18.6924431905281","14.8336971059915","13.8963083626747","18.1279843043077","14.0742698821894","15.99272174706","18.4350901661051","17.7453577733961","16.4910108046272","17.5858523847","18.6634045643383","17.6984848494716","18.6508045351761","15.3151112242495","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
2254,"FGF9","hsa-mir-15a-5p","hsa-mir-22-3p",0,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/29904943'>PubMedLink</a>","tarbase","tarbase","hsa-mir-22-3p","hsa-mir-15a-5p",2254,15.392191913961,11.4811681687457,15.4208435321864,14.6981033090615,11.8753089775364,"11.6621456538288","15.3943597380521","16.4380795954151","16.4492739265757","13.2818235604894","16.0502345033191","11.1175730600131","14.5874230753355","17.7817635440624","8.28912394177646","15.284593915546","14.5760930041943","15.5534505922241","14.7227352089432","13.9778920429673","13.8269618833933","17.1012822398658","9.89334240018924","14.2700734328848","15.052596837373","14.9705962121072","12.8841571124723","13.1550152392518","16.1513907454096","17.7827535860176","15.9748214758199","14.8907788561402","13.0435221407007","16.1848641833161","15.1846700283836","17.4626577350926","15.0429865541788","14.1850932747294","14.7527062868406","13.2537090527302","14.5319785897631","18.5347333701476","13.3743299386816","14.1221827402417","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
3206,"HOXA10","hsa-mir-320c","hsa-mir-29b-3p",0.0035,TRUE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/19017365'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/20009888'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/20151152'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/23276799'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/23888944'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24607788'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26151663'>PubMedLink</a>","tarbase","tarbase","hsa-mir-29b-3p","hsa-mir-320c",3206,9.70524202058183,10.4893416659585,10.8859447231532,14.4899482204296,15.5943650712856,"9.58245782334824","14.7283842111358","17.7108814934156","13.1027291750023","14.2878415662622","15.827375163835","11.678709072744","15.2115720780129","15.8501600954242","15.3511242946806","15.8239645456354","9.29929888638864","12.5262310994356","14.8912909515401","12.3908304530334","17.5264295381198","18.405524208912","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
3480,"IGF1R","hsa-mir-223-3p","hsa-mir-224-5p",0.0025,FALSE,"<a href='https://pubmed.ncbi.nlm.nih.gov/28587313'>PubMedLink</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/25017423'>PubMedLink</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/20950153'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/21317933'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24727326'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24932685'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26708715'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30119207'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30237504'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31140856'>PubMedLink</a>","mirtarbase","mirtarbase tarbase","hsa-mir-224-5p","hsa-mir-223-3p",3480,18.6480911432386,17.8434707240123,17.6099415868749,18.1246562270793,18.4985161852992,"19.1015640452929","18.1341696462466","17.9774033665954","17.6819940579986","17.6425202806259","17.9422109378157","17.5697033559509","18.9093191812507","17.8067693503222","15.5574375661105","18.5013964605111","18.5486100410316","19.0512340469926","17.6639064997316","17.8567825114034","18.0334334982769","18.1746649539994","17.6950912489647","18.6622910354516","15.9631612355224","17.5298228564315","16.8733412990586","19.4530622084783","17.8311320185427","17.8741091948929","16.1288054200437","14.9746639984095","15.1498601434037","18.7479415185021","18.9737854516078","16.5767562663858","17.5775631014409","16.8977594298307","19.1189124618245","18.3499277146895","18.0426152344285","18.3442549968914","16.8792271227386","19.2476700122156","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
3480,"IGF1R","hsa-mir-452-5p","hsa-mir-185-5p",0.0015,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/20950153'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/21317933'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24727326'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24932685'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26708715'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30119207'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30237504'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31140856'>PubMedLink</a>","tarbase","mirtarbase","hsa-mir-185-5p","hsa-mir-452-5p",3480,16.5301717384856,18.6480911432386,17.8434707240123,17.6099415868749,18.6847591016738,"18.1246562270793","18.4985161852992","19.1015640452929","18.9521426319819","18.1341696462466","16.1174260236135","17.6819940579986","17.9422109378157","17.5697033559509","18.9093191812507","17.8067693503222","15.2616066076046","18.5013964605111","18.5486100410316","19.0512340469926","17.6639064997316","17.5644488674848","17.5319921073592","17.8182079146419","16.9497870527506","18.1746649539994","18.6622910354516","17.5298228564315","17.1562633458369","16.1288054200437","17.9310616287232","19.0582187053115","17.5775631014409","19.1189124618245","18.2801078356194","18.0426152344285","15.9133511504971","18.1378989373668","16.8792271227386","18.4245999322448","17.804026119785","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
3779,"KCNMB1","hsa-mir-1226-3p","hsa-mir-1262",0.0015,FALSE,NA,NA,NA,"mirtarbase","mirtarbase","hsa-mir-1262","hsa-mir-1226-3p",3779,12.9166808278577,13.2948436026343,10.7582522717699,13.4550917871357,14.4422714431862,"13.106699947088","13.2736308130552","13.6996272189534","13.2726554529388","12.8087776711954","14.3704646059445","11.7365191218605","14.0820562789449","13.5922415775214","13.0775678193365","13.7331930150432","13.0083941306892","14.676252074609","15.2744956346859","14.7157887210805","13.2254470358627","13.0312328268316","13.2606571052896","13.5998431467833","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
4277,"MICB","hsa-mir-20a-5p","hsa-mir-760",0.003,FALSE,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/27726922'>PubMedLink</a>",NA,"mirtarbase tarbase","mirtarbase tarbase","hsa-mir-760","hsa-mir-20a-5p",4277,14.9526616978041,16.9889023197755,16.6626721004678,16.4735219247847,16.3578082540432,"14.7801921902177","15.5660630025872","16.5935931286429","17.1241708001731","14.9003901382752","14.6658267692487","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
5139,"PDE3A","hsa-mir-31-5p","hsa-mir-29b-3p",0.003,FALSE,NA,NA,NA,"tarbase","tarbase","hsa-mir-29b-3p","hsa-mir-31-5p",5139,12.8850294345384,17.4643816269398,17.2545143268047,17.979144940991,17.5020101987239,"16.6373046914651","16.579564776303","10.969729117783","16.7306152513463","16.5479624233463","15.4937688075839","16.9220152913164","16.7394597251858","17.4155300105768","15.747902913691","16.7266153729794","14.8783355379496","17.5359562300558","16.5152989374922","17.4637172797263","15.0157045990433","18.2179830141208","16.3169727639023","18.2210622787775","16.8142201962668","17.3290191116156","15.6970394787547","14.9037360005131","17.4995065369839","20.6731409808987","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
