"entrezgene_id","hgnc_symbol","mirna1","mirna2","Two_Var_XZ","Two_Var_YZ","Lancaster_XY_Z","is_mrna_tf","mrnaLiterature","miRNA1_mRNA_DB","miRNA2_mRNA_DB"
1303,"COL12A1","hsa-mir-376b-3p","hsa-mir-299-3p",0.333,0.0325,5e-04,FALSE,"NA"," tarbase "," tarbase "
1303,"COL12A1","hsa-mir-495-3p","hsa-mir-299-3p",0.5815,0.0325,0.004,FALSE,"NA"," tarbase "," tarbase "
1374,"CPT1A","hsa-mir-194-3p","hsa-mir-302a-3p",0.061,0.345,0,FALSE,"NA","mirtarbase  ","mirtarbase  "
1374,"CPT1A","hsa-mir-194-3p","hsa-mir-302c-3p",0.0555,0.3015,0,FALSE,"NA","mirtarbase  ","mirtarbase  "
1374,"CPT1A","hsa-mir-194-3p","hsa-mir-302d-3p",0.068,0.307,5e-04,FALSE,"NA","mirtarbase  ","mirtarbase  "
1482,"NKX2-5","hsa-mir-1538","hsa-mir-663a",0.0465,0.0555,0.006,TRUE,"NA","mirtarbase  ","mirtarbase  "
1601,"DAB2","hsa-mir-124-3p","hsa-mir-548d-3p",0.0165,0.124,0.006,FALSE,"NA"," tarbase "," tarbase "
1958,"EGR1","hsa-mir-124-3p","hsa-mir-520d-5p",0.0525,0.029,0.002,TRUE,"NA","mirtarbase tarbase "," tarbase "
1958,"EGR1","hsa-mir-518a-3p","hsa-mir-192-5p",0.0475,0.793,0.0065,TRUE,"NA"," tarbase ","mirtarbase tarbase "
1958,"EGR1","hsa-mir-518a-3p","hsa-mir-520d-5p",0.0405,0.036,0.003,TRUE,"NA"," tarbase "," tarbase "
1958,"EGR1","hsa-mir-518b","hsa-mir-520d-5p",0.011,0.0365,0.0045,TRUE,"NA"," tarbase "," tarbase "
1958,"EGR1","hsa-mir-518f-3p","hsa-mir-520d-5p",0.014,0.036,0.008,TRUE,"NA"," tarbase "," tarbase "
1979,"EIF4EBP2","hsa-mir-760","hsa-mir-766-3p",0.073,0.0125,0,FALSE,"NA","mirtarbase  ","mirtarbase  "
1981,"EIF4G1","hsa-mir-452-3p","hsa-mir-96-5p",0.2525,0.03,0.0035,FALSE,"NA"," tarbase ","mirtarbase  "
1981,"EIF4G1","hsa-mir-491-5p","hsa-mir-182-3p",0.932,0.127,0.008,FALSE,"NA"," tarbase "," tarbase "
1999,"ELF3","hsa-mir-629-5p","hsa-mir-124-3p",0.011,0.177,0.001,TRUE,"NA","mirtarbase tarbase ","mirtarbase tarbase "
2005,"ELK4","hsa-mir-181a-2-3p","hsa-mir-651-5p",0.0605,0.0575,0.0075,TRUE,"NA"," tarbase "," tarbase "
2180,"ACSL1","hsa-mir-205-5p","hsa-mir-335-5p",0.061,0.1355,0.003,FALSE,"NA","mirtarbase  ","mirtarbase tarbase "
2195,"FAT1","hsa-mir-194-3p","hsa-mir-7-5p",0.012,0.0775,0,FALSE,"NA"," tarbase "," tarbase "
2195,"FAT1","hsa-mir-9-5p","hsa-mir-7-5p",0.029,0.0495,0,FALSE,"NA"," tarbase "," tarbase "
2239,"GPC4","hsa-mir-548o-3p","hsa-mir-3065-3p",0.016,0.15,5e-04,FALSE,"NA","mirtarbase  ","mirtarbase  "
2274,"FHL2","hsa-mir-486-3p","hsa-mir-3662",0.0315,0.0165,0.0065,FALSE,"NA"," tarbase ","mirtarbase  "
2289,"FKBP5","hsa-mir-539-5p","hsa-mir-200c-3p",0.11,0.0245,0.0015,FALSE,"NA","mirtarbase  ","mirtarbase  "
2335,"FN1","hsa-mir-124-3p","hsa-mir-7-5p",0.453,0.0185,0,FALSE,"NA"," tarbase "," tarbase "
2935,"GSPT1","hsa-mir-9-3p","hsa-mir-455-3p",0.0135,0.0385,0.0045,FALSE,"<a href='https://pubmed.ncbi.nlm.nih.gov/26503584'>PubMedLink</a>"," tarbase "," tarbase "
2979,"GUCA1B","hsa-mir-519e-5p","hsa-mir-515-5p",0.0355,0.028,0.0015,FALSE,"NA","mirtarbase  ","mirtarbase  "
3097,"HIVEP2","hsa-mir-486-3p","hsa-mir-873-5p",0.013,0.55,0.0025,TRUE,"NA"," tarbase "," tarbase "
3215,"HOXB5","hsa-mir-3150b-3p","hsa-mir-513c-5p",0.0835,0.5915,0.008,TRUE,"NA","mirtarbase  ","mirtarbase  "
3224,"HOXC8","hsa-mir-149-3p","hsa-mir-518b",0.522,0.2235,0.006,TRUE,"NA","mirtarbase  ","mirtarbase  "
3224,"HOXC8","hsa-mir-34b-5p","hsa-mir-518c-3p",0.197,0.141,5e-04,TRUE,"NA","mirtarbase  ","mirtarbase  "
3224,"HOXC8","hsa-mir-518a-3p","hsa-mir-34b-5p",0.2535,0.2015,5e-04,TRUE,"NA","mirtarbase  ","mirtarbase  "
3224,"HOXC8","hsa-mir-518b","hsa-mir-34b-5p",0.1445,0.183,0.0015,TRUE,"NA","mirtarbase  ","mirtarbase  "
3224,"HOXC8","hsa-mir-518f-3p","hsa-mir-34b-5p",0.184,0.2025,0.0015,TRUE,"NA","mirtarbase  ","mirtarbase  "
3423,"IDS","hsa-mir-18b-5p","hsa-mir-7-1-3p",0.013,0.035,0.005,FALSE,"NA"," tarbase "," tarbase "
3455,"IFNAR2","hsa-mir-629-5p","hsa-mir-219a-5p",0.0825,0.011,0.0015,FALSE,"NA"," tarbase "," tarbase "
3479,"IGF1","hsa-mir-3065-5p","hsa-mir-129-5p",0.746,0.031,0,FALSE,"NA","mirtarbase  ","mirtarbase  "
3479,"IGF1","hsa-mir-3065-5p","hsa-mir-219a-1-3p",0.752,0.038,0.006,FALSE,"NA","mirtarbase  "," tarbase "
3480,"IGF1R","hsa-mir-494-3p","hsa-mir-653-5p",0.014,0.131,0.002,FALSE,"NA","mirtarbase  "," tarbase "
3609,"ILF3","hsa-mir-338-3p","hsa-mir-497-5p",0.246,0.0245,0.008,FALSE,"NA"," tarbase "," tarbase "
3710,"ITPR3","hsa-mir-130b-5p","hsa-mir-940",0.176,0.0155,0.005,FALSE,"NA"," tarbase "," tarbase "
3710,"ITPR3","hsa-mir-214-3p","hsa-mir-940",0.1135,0.019,0.001,FALSE,"NA"," tarbase "," tarbase "
3720,"JARID2","hsa-mir-301b-3p","hsa-mir-449a",0.026,0.0765,0.0045,FALSE,"NA","mirtarbase tarbase ","mirtarbase  "
3779,"KCNMB1","hsa-mir-302c-3p","hsa-mir-106a-5p",0.0135,0.0305,0,FALSE,"NA","mirtarbase  ","mirtarbase  "
3779,"KCNMB1","hsa-mir-512-3p","hsa-mir-106a-5p",0.021,0.0365,0,FALSE,"NA","mirtarbase  ","mirtarbase  "
3779,"KCNMB1","hsa-mir-512-3p","hsa-mir-432-5p",0.011,0.0385,5e-04,FALSE,"NA","mirtarbase  ","mirtarbase  "
3779,"KCNMB1","hsa-mir-519d-3p","hsa-mir-20b-5p",0.019,0.021,0,FALSE,"NA","mirtarbase  ","mirtarbase  "
3779,"KCNMB1","hsa-mir-519d-3p","hsa-mir-432-5p",0.024,0.0145,0,FALSE,"NA","mirtarbase  ","mirtarbase  "
3779,"KCNMB1","hsa-mir-519d-3p","hsa-mir-526b-3p",0.0215,0.068,5e-04,FALSE,"NA","mirtarbase  ","mirtarbase  "
3779,"KCNMB1","hsa-mir-520a-3p","hsa-mir-20b-5p",0.015,0.0115,0,FALSE,"NA","mirtarbase  ","mirtarbase  "
3779,"KCNMB1","hsa-mir-520c-3p","hsa-mir-106a-5p",0.0115,0.035,0,FALSE,"NA","mirtarbase  ","mirtarbase  "
3779,"KCNMB1","hsa-mir-520c-3p","hsa-mir-20b-5p",0.0115,0.017,0,FALSE,"NA","mirtarbase  ","mirtarbase  "
3779,"KCNMB1","hsa-mir-520c-3p","hsa-mir-432-5p",0.0155,0.0235,0,FALSE,"NA","mirtarbase  ","mirtarbase  "
3779,"KCNMB1","hsa-mir-520d-3p","hsa-mir-106a-5p",0.053,0.029,0,FALSE,"NA","mirtarbase  ","mirtarbase  "
3779,"KCNMB1","hsa-mir-520d-3p","hsa-mir-432-5p",0.045,0.02,0,FALSE,"NA","mirtarbase  ","mirtarbase  "
3779,"KCNMB1","hsa-mir-526b-3p","hsa-mir-106a-5p",0.026,0.033,0,FALSE,"NA","mirtarbase  ","mirtarbase  "
3779,"KCNMB1","hsa-mir-526b-3p","hsa-mir-302d-3p",0.038,0.013,0,FALSE,"NA","mirtarbase  ","mirtarbase  "
3779,"KCNMB1","hsa-mir-526b-3p","hsa-mir-432-5p",0.053,0.022,0,FALSE,"NA","mirtarbase  ","mirtarbase  "
3779,"KCNMB1","hsa-mir-526b-3p","hsa-mir-512-3p",0.071,0.013,0,FALSE,"NA","mirtarbase  ","mirtarbase  "
3788,"KCNS2","hsa-mir-371a-5p","hsa-mir-548e-3p",0.0155,0.3345,0.003,FALSE,"NA","mirtarbase  ","mirtarbase  "
3824,"KLRD1","hsa-mir-106a-5p","hsa-mir-301b-3p",0.0265,0.017,0,FALSE,"NA","mirtarbase  ","mirtarbase  "
3824,"KLRD1","hsa-mir-20b-5p","hsa-mir-301b-3p",0.0215,0.03,0,FALSE,"NA","mirtarbase  ","mirtarbase  "
3920,"LAMP2","hsa-mir-124-3p","hsa-mir-29b-3p",0.196,0.7455,0.0075,FALSE,"NA","mirtarbase tarbase "," tarbase "
3990,"LIPC","hsa-mir-512-5p","hsa-mir-3922-3p",0.015,0.689,0,FALSE,"NA","mirtarbase  ","mirtarbase  "
4012,"LNPEP","hsa-mir-122-5p","hsa-mir-18a-3p",0.028,0.0235,5e-04,FALSE,"NA"," tarbase ","mirtarbase tarbase "
4026,"LPP","hsa-mir-548b-3p","hsa-mir-7-5p",0.0595,0.0325,0,FALSE,"NA"," tarbase "," tarbase "
4026,"LPP","hsa-mir-548e-3p","hsa-mir-7-5p",0.078,0.0935,0.0065,FALSE,"NA"," tarbase "," tarbase "
4067,"LYN","hsa-mir-205-5p","hsa-let-7e-5p",0.3165,0.041,0,FALSE,"NA","mirtarbase  ","mirtarbase tarbase "
4067,"LYN","hsa-mir-320c","hsa-mir-205-5p",0.4725,0.3365,0.008,FALSE,"NA"," tarbase ","mirtarbase  "
4154,"MBNL1","hsa-mir-122-5p","hsa-mir-1305",0.031,0.136,0.001,FALSE,"NA"," tarbase "," tarbase "
4154,"MBNL1","hsa-mir-1305","hsa-mir-335-5p",0.151,0.0415,0.0025,FALSE,"NA"," tarbase ","mirtarbase  "
4154,"MBNL1","hsa-mir-130b-3p","hsa-mir-335-5p",0.0105,0.0955,0.0035,FALSE,"NA","mirtarbase tarbase ","mirtarbase  "
4154,"MBNL1","hsa-mir-433-3p","hsa-mir-1305",0.292,0.145,0.0015,FALSE,"NA","mirtarbase  "," tarbase "
4154,"MBNL1","hsa-mir-548d-3p","hsa-mir-187-3p",0.0535,0.7695,0.009,FALSE,"NA"," tarbase "," tarbase "
4154,"MBNL1","hsa-mir-7-1-3p","hsa-mir-92b-3p",0.024,0.041,0.001,FALSE,"NA"," tarbase ","mirtarbase tarbase "
4170,"MCL1","hsa-mir-873-5p","hsa-mir-494-3p",0.235,0.125,0.0065,FALSE,"NA"," tarbase "," tarbase "
4238,"MFAP3","hsa-mir-7-5p","hsa-mir-96-5p",0.37,0.0875,0.0065,FALSE,"NA"," tarbase "," tarbase "
4286,"MITF","hsa-mir-182-5p","hsa-mir-200c-3p",0.0655,0.0275,0,TRUE,"NA","mirtarbase tarbase "," tarbase "
4297,"KMT2A","hsa-mir-486-3p","hsa-mir-219a-5p",0.2305,0.041,0.0025,TRUE,"NA"," tarbase "," tarbase "
4297,"KMT2A","hsa-mir-942-5p","hsa-mir-219a-5p",0.135,0.0435,0.004,TRUE,"NA"," tarbase "," tarbase "
4585,"MUC4","hsa-mir-3614-3p","hsa-mir-219a-1-3p",0.977,0.389,0.0045,FALSE,"NA","mirtarbase  ","mirtarbase  "
4609,"MYC","hsa-mir-1248","hsa-mir-29a-3p",0.4085,0.098,0.002,TRUE,"NA","mirtarbase tarbase ","mirtarbase  "
4609,"MYC","hsa-mir-1248","hsa-mir-29b-3p",0.3735,0.0135,0.003,TRUE,"NA","mirtarbase tarbase ","mirtarbase tarbase "
4763,"NF1","hsa-mir-873-5p","hsa-mir-486-5p",0.3005,0.437,0.003,FALSE,"NA"," tarbase "," tarbase "
4771,"NF2","hsa-mir-452-3p","hsa-mir-92b-3p",0.109,0.8575,5e-04,FALSE,"NA"," tarbase ","mirtarbase  "
4939,"OAS2","hsa-mir-106a-5p","hsa-mir-1224-5p",0.0135,0.075,0.0045,FALSE,"NA"," tarbase "," tarbase "
4939,"OAS2","hsa-mir-1224-5p","hsa-mir-335-5p",0.0825,0.011,0.005,FALSE,"NA"," tarbase ","mirtarbase tarbase "
4939,"OAS2","hsa-mir-219a-1-3p","hsa-mir-1224-5p",0.02,0.061,0.0025,FALSE,"NA"," tarbase "," tarbase "
4973,"OLR1","hsa-mir-651-5p","hsa-mir-616-5p",0.0135,0.347,0,FALSE,"NA","mirtarbase  ","mirtarbase  "
4983,"OPHN1","hsa-mir-1269a","hsa-mir-548o-3p",0.0725,0.091,0.003,FALSE,"NA","mirtarbase  ","mirtarbase  "
4983,"OPHN1","hsa-mir-1269a","hsa-mir-92a-1-5p",0.0615,0.249,0.001,FALSE,"NA","mirtarbase  ","mirtarbase  "
5010,"CLDN11","hsa-mir-377-3p","hsa-mir-154-3p",0.067,0.07,0.001,FALSE,"NA"," tarbase "," tarbase "
5324,"PLAG1","hsa-mir-1269a","hsa-mir-29c-3p",0.0965,0.264,0.005,TRUE,"NA"," tarbase ","mirtarbase tarbase "
5451,"POU2F1","hsa-mir-497-3p","hsa-mir-224-5p",0.2075,0.2195,0.004,TRUE,"NA","mirtarbase tarbase "," tarbase "
5795,"PTPRJ","hsa-mir-133a-3p","hsa-mir-367-3p",0.066,0.0845,0.0095,FALSE,"NA"," tarbase "," tarbase "
5813,"PURA","hsa-mir-616-5p","hsa-mir-188-3p",0.5695,0.015,0.006,TRUE,"NA"," tarbase ","mirtarbase  "
5915,"RARB","hsa-mir-195-5p","hsa-mir-424-5p",0.098,0.092,5e-04,TRUE,"NA","mirtarbase  ","mirtarbase  "
6132,"RPL8","hsa-mir-138-5p","hsa-mir-3065-3p",0.4085,0.108,0.0015,FALSE,"NA"," tarbase "," tarbase "
6182,"MRPL12","hsa-mir-1226-3p","hsa-mir-125b-2-3p",0.144,0.028,0.001,FALSE,"NA"," tarbase ","mirtarbase  "
6319,"SCD","hsa-mir-224-5p","hsa-mir-196b-5p",0.4285,0.0505,0.003,FALSE,"NA"," tarbase "," tarbase "
6367,"CCL22","hsa-mir-1271-5p","hsa-mir-149-3p",0.1905,0.018,0.0055,FALSE,"NA","mirtarbase  ","mirtarbase  "
6513,"SLC2A1","hsa-mir-1538","hsa-mir-1291",0.026,0.2125,0.002,FALSE,"NA","mirtarbase  ","mirtarbase tarbase "
6648,"SOD2","hsa-mir-299-5p","hsa-mir-204-5p",0.013,0.037,0.0025,FALSE,"NA"," tarbase ","mirtarbase tarbase "
6648,"SOD2","hsa-mir-577","hsa-mir-204-5p",0.804,0.0225,0.0045,FALSE,"NA","mirtarbase  ","mirtarbase tarbase "
6672,"SP100","hsa-mir-18b-5p","hsa-mir-335-3p",0.023,0.012,0.003,TRUE,"NA","mirtarbase  "," tarbase "
6720,"SREBF1","hsa-mir-342-5p","hsa-mir-495-3p",0.021,0.328,0.007,TRUE,"NA","mirtarbase tarbase ","mirtarbase  "
6838,"SURF6","hsa-mir-493-3p","hsa-mir-940",0.0715,0.0225,0.001,FALSE,"NA"," tarbase "," tarbase "
6867,"TACC1","hsa-mir-20b-5p","hsa-mir-96-5p",0.0115,0.015,0.002,FALSE,"NA"," tarbase "," tarbase "
6867,"TACC1","hsa-mir-548j-5p","hsa-mir-500a-5p",0.0835,0.017,0.007,FALSE,"NA"," tarbase ","mirtarbase tarbase "
7037,"TFRC","hsa-mir-124-3p","hsa-mir-615-3p",0.203,0.0905,0.004,FALSE,"NA"," tarbase "," tarbase "
7037,"TFRC","hsa-mir-615-3p","hsa-mir-7-5p",0.07,0.3135,0.0015,FALSE,"NA"," tarbase ","mirtarbase  "
7070,"THY1","hsa-mir-33b-3p","hsa-mir-139-3p",0.183,0.2075,0.004,FALSE,"NA","mirtarbase  ","mirtarbase  "
7094,"TLN1","hsa-mir-182-5p","hsa-mir-1271-5p",0.0105,0.564,0.005,FALSE,"NA"," tarbase "," tarbase "
7094,"TLN1","hsa-mir-182-5p","hsa-mir-370-3p",0.02,0.1245,5e-04,FALSE,"NA"," tarbase "," tarbase "
7094,"TLN1","hsa-mir-182-5p","hsa-mir-432-5p",0.019,0.1665,0,FALSE,"NA"," tarbase "," tarbase "
7128,"TNFAIP3","hsa-mir-940","hsa-mir-519a-5p",0.407,0.1045,0.006,FALSE,"NA"," tarbase ","mirtarbase  "
7158,"TP53BP1","hsa-mir-29b-3p","hsa-mir-96-5p",0.043,0.0145,0,FALSE,"NA"," tarbase "," tarbase "
7158,"TP53BP1","hsa-mir-96-5p","hsa-mir-29a-3p",0.022,0.1405,0.004,FALSE,"NA"," tarbase "," tarbase "
7421,"VDR","hsa-mir-302c-3p","hsa-mir-122-5p",0.0755,0.0935,0,TRUE,"NA"," tarbase ","mirtarbase  "
7428,"VHL","hsa-mir-1248","hsa-mir-767-5p",0.031,0.0135,0.003,FALSE,"NA","mirtarbase  ","mirtarbase  "
7428,"VHL","hsa-mir-301b-3p","hsa-mir-767-5p",0.028,0.014,0,FALSE,"NA"," tarbase ","mirtarbase  "
7764,"ZNF217","hsa-mir-192-3p","hsa-mir-577",0.014,0.059,0,TRUE,"NA"," tarbase "," tarbase "
7832,"BTG2","hsa-mir-106a-5p","hsa-mir-3609",0.8025,0.06,0.007,FALSE,"NA","mirtarbase  ","mirtarbase tarbase "
7832,"BTG2","hsa-mir-18b-5p","hsa-mir-3609",0.131,0.059,0.0075,FALSE,"NA"," tarbase ","mirtarbase tarbase "
7832,"BTG2","hsa-mir-3609","hsa-mir-195-5p",0.07,0.379,0.007,FALSE,"NA","mirtarbase tarbase ","mirtarbase tarbase "
7832,"BTG2","hsa-mir-3609","hsa-mir-9-3p",0.061,0.1,0,FALSE,"NA","mirtarbase tarbase "," tarbase "
7832,"BTG2","hsa-mir-3609","hsa-mir-9-5p",0.0735,0.3075,0,FALSE,"NA","mirtarbase tarbase "," tarbase "
7832,"BTG2","hsa-mir-497-5p","hsa-mir-3609",0.791,0.063,0.0075,FALSE,"NA"," tarbase ","mirtarbase tarbase "
8106,"PABPN1","hsa-mir-935","hsa-mir-497-5p",0.265,0.1195,0,FALSE,"NA"," tarbase "," tarbase "
8204,"NRIP1","hsa-mir-651-5p","hsa-mir-7-5p",0.575,0.1075,0.006,FALSE,"NA","mirtarbase  "," tarbase "
8323,"FZD6","hsa-mir-205-3p","hsa-mir-651-5p",0.056,0.0895,0.0065,FALSE,"NA","mirtarbase  "," tarbase "
8490,"RGS5","hsa-mir-1243","hsa-mir-663a",0.0245,0.0135,0.0095,FALSE,"NA","mirtarbase  ","mirtarbase  "
8553,"BHLHE40","hsa-mir-629-5p","hsa-mir-767-3p",0.0185,0.0145,0.0085,TRUE,"NA"," tarbase ","mirtarbase  "
8693,"GALNT4","hsa-mir-18b-3p","hsa-mir-2113",0.0555,0.156,0.0015,FALSE,"NA","mirtarbase  ","mirtarbase  "
8853,"ASAP2","hsa-mir-29b-3p","hsa-mir-373-3p",0.79,0.1115,0.006,FALSE,"NA"," tarbase "," tarbase "
8853,"ASAP2","hsa-mir-373-3p","hsa-mir-323a-5p",0.0665,0.2545,0.0035,FALSE,"NA"," tarbase "," tarbase "
8853,"ASAP2","hsa-mir-373-3p","hsa-mir-487a-3p",0.068,0.0415,0.0025,FALSE,"NA"," tarbase "," tarbase "
9031,"BAZ1B","hsa-mir-3065-5p","hsa-mir-34c-5p",0.03,0.018,5e-04,FALSE,"NA"," tarbase "," tarbase "
9052,"GPRC5A","hsa-let-7e-5p","hsa-let-7c-5p",0.034,0.026,0.002,FALSE,"NA"," tarbase "," tarbase "
9052,"GPRC5A","hsa-let-7e-5p","hsa-mir-152-3p",0.0245,0.027,5e-04,FALSE,"NA"," tarbase ","mirtarbase  "
9052,"GPRC5A","hsa-let-7e-5p","hsa-mir-582-5p",0.0365,0.0235,0.001,FALSE,"NA"," tarbase "," tarbase "
9052,"GPRC5A","hsa-mir-34b-3p","hsa-mir-455-5p",0.7305,0.0295,0.006,FALSE,"NA","mirtarbase  "," tarbase "
9052,"GPRC5A","hsa-mir-424-5p","hsa-mir-500b-5p",0.0855,0.0635,0.004,FALSE,"NA","mirtarbase  ","mirtarbase  "
9052,"GPRC5A","hsa-mir-500b-5p","hsa-mir-301a-3p",0.0375,0.0175,0.0075,FALSE,"NA","mirtarbase  ","mirtarbase tarbase "
9052,"GPRC5A","hsa-mir-500b-5p","hsa-mir-582-5p",0.062,0.025,0,FALSE,"NA","mirtarbase  "," tarbase "
9052,"GPRC5A","hsa-mir-940","hsa-mir-500b-5p",0.1,0.0585,0.002,FALSE,"NA","mirtarbase tarbase ","mirtarbase  "
9424,"KCNK6","hsa-mir-20b-5p","hsa-mir-211-5p",0.134,0.5065,0,FALSE,"NA","mirtarbase  ","mirtarbase  "
9424,"KCNK6","hsa-mir-211-5p","hsa-mir-106a-5p",0.4815,0.052,0.001,FALSE,"NA","mirtarbase  ","mirtarbase  "
9424,"KCNK6","hsa-mir-302b-3p","hsa-mir-211-5p",0.0265,0.5355,5e-04,FALSE,"NA","mirtarbase  ","mirtarbase  "
9481,"SLC25A27","hsa-mir-410-3p","hsa-mir-122-5p",0.1555,0.116,0.006,FALSE,"NA","mirtarbase  "," tarbase "
9530,"BAG4","hsa-mir-429","hsa-mir-9-5p",0.016,0.017,0,FALSE,"NA","mirtarbase  "," tarbase "
9655,"SOCS5","hsa-mir-373-3p","hsa-mir-106a-5p",0.0345,0.0365,0.002,FALSE,"NA","mirtarbase  ","mirtarbase  "
9655,"SOCS5","hsa-mir-373-3p","hsa-mir-20b-5p",0.12,0.0155,0,FALSE,"NA","mirtarbase  ","mirtarbase tarbase "
9839,"ZEB2","hsa-mir-205-5p","hsa-mir-122-5p",0.0655,0.023,0,TRUE,"NA","mirtarbase  "," tarbase "
9852,"EPM2AIP1","hsa-mir-141-3p","hsa-mir-92b-3p",0.1315,0.026,0.0025,FALSE,"NA"," tarbase ","mirtarbase  "
9865,"TRIL","hsa-mir-29a-3p","hsa-mir-29b-3p",0.0675,0.125,0.001,FALSE,"NA"," tarbase "," tarbase "
9865,"TRIL","hsa-mir-29c-3p","hsa-mir-29a-3p",0.1545,0.0825,0.0035,FALSE,"NA"," tarbase "," tarbase "
9865,"TRIL","hsa-mir-29c-3p","hsa-mir-29b-3p",0.1525,0.0505,0.0095,FALSE,"NA"," tarbase "," tarbase "
10000,"AKT3","hsa-mir-124-3p","hsa-mir-497-5p",0.026,0.0135,0.0035,FALSE,"NA","mirtarbase  ","mirtarbase tarbase "
10000,"AKT3","hsa-mir-124-3p","hsa-mir-548d-3p",0.022,0.203,0.006,FALSE,"NA","mirtarbase  "," tarbase "
10123,"ARL4C","hsa-mir-302c-3p","hsa-mir-486-3p",0.177,0.024,0.001,FALSE,"NA"," tarbase ","mirtarbase  "
10395,"DLC1","hsa-mir-138-5p","hsa-mir-499a-3p",0.0445,0.429,0.0025,FALSE,"NA"," tarbase "," tarbase "
10397,"NDRG1","hsa-mir-20b-5p","hsa-mir-9-5p",0.4845,0.1955,0.0065,FALSE,"NA"," tarbase "," tarbase "
10397,"NDRG1","hsa-mir-9-5p","hsa-mir-548f-3p",0.1555,0.019,0,FALSE,"NA"," tarbase ","mirtarbase  "
10525,"HYOU1","hsa-mir-135a-5p","hsa-mir-940",0.222,0.013,0.0035,FALSE,"NA"," tarbase "," tarbase "
10525,"HYOU1","hsa-mir-424-5p","hsa-mir-940",0.0535,0.021,0,FALSE,"NA"," tarbase "," tarbase "
10525,"HYOU1","hsa-mir-429","hsa-mir-424-5p",0.0115,0.0465,0.0025,FALSE,"NA"," tarbase "," tarbase "
10525,"HYOU1","hsa-mir-429","hsa-mir-940",0.012,0.013,0.008,FALSE,"NA"," tarbase "," tarbase "
10525,"HYOU1","hsa-mir-676-3p","hsa-mir-940",0.03,0.016,0.006,FALSE,"NA"," tarbase "," tarbase "
10525,"HYOU1","hsa-mir-760","hsa-mir-497-5p",0.101,0.573,0.0095,FALSE,"NA","mirtarbase tarbase "," tarbase "
